Date;Close;Volume
01/09/2011;5.29;6677100
02/09/2011;5.22;5097500
06/09/2011;5.04;5262600
07/09/2011;5.21;4519100
08/09/2011;5.14;4435900
09/09/2011;5.02;6297900
12/09/2011;4.85;8533800
13/09/2011;5.64;24655700
14/09/2011;5.74;11585200
15/09/2011;5.86;7429900
16/09/2011;5.91;4586600
19/09/2011;5.8;4149000
20/09/2011;5.97;6913600
21/09/2011;5.85;9122200
22/09/2011;5.73;15729600
23/09/2011;6.13;8256000
26/09/2011;6.43;7554200
27/09/2011;6.11;7917800
28/09/2011;6.12;6625300
29/09/2011;6.1;5039900
30/09/2011;5.5;8429500
03/10/2011;4.63;13467600
04/10/2011;5;8995900
05/10/2011;5.17;7358100
06/10/2011;5.35;5228300
07/10/2011;5.21;6088300
10/10/2011;5.33;4401200
11/10/2011;5.84;7072000
12/10/2011;6.23;9014300
13/10/2011;6.3;6077700
14/10/2011;6.04;6443400
17/10/2011;5.85;6601800
18/10/2011;6.02;4921100
19/10/2011;5.76;7317400
20/10/2011;6.01;4805100
21/10/2011;5.87;4973100
24/10/2011;5.95;5337800
25/10/2011;5.6;6475900
26/10/2011;5.66;4919000
27/10/2011;5.83;9171500
28/10/2011;5.94;4626200
31/10/2011;5.77;4346100
01/11/2011;5.5;5666800
02/11/2011;5.28;7873300
03/11/2011;5.61;8596300
04/11/2011;5.5;6493300
07/11/2011;5.39;3927300
08/11/2011;5.21;6410800
09/11/2011;5.05;4424000
10/11/2011;4.85;7302900
11/11/2011;5.01;5658900
14/11/2011;4.98;4837900
15/11/2011;4.78;6474000
16/11/2011;4.5;6801000
17/11/2011;4.4;7087200
18/11/2011;4.42;4247700
21/11/2011;4.25;5720800
22/11/2011;4.05;6135100
23/11/2011;4;4176800
25/11/2011;4.02;3683800
28/11/2011;4.27;4311400
29/11/2011;4.46;13151600
30/11/2011;4.72;9312400
01/12/2011;4.94;11537400
02/12/2011;4.84;6178600
05/12/2011;5.12;7086700
06/12/2011;5.25;7783400
07/12/2011;5.59;10016700
08/12/2011;5.34;6581700
09/12/2011;5.62;6149000
12/12/2011;5.63;6370200
13/12/2011;5.19;8482100
14/12/2011;5.59;8737700
15/12/2011;5.71;4680400
16/12/2011;6.18;16331800
19/12/2011;5.83;5729600
20/12/2011;5.94;7030900
21/12/2011;5.77;8144900
22/12/2011;5.7;5300600
23/12/2011;5.62;4990700
27/12/2011;5.4;3968800
28/12/2011;5.19;6446000
29/12/2011;5.23;3537100
30/12/2011;5.07;5496300
03/01/2012;5.12;6105900
04/01/2012;5.03;5268700
05/01/2012;5.47;8216100
06/01/2012;5.6;8323000
09/01/2012;5.72;8029900
10/01/2012;5.72;6086500
11/01/2012;5.91;6434400
12/01/2012;6.05;16413400
13/01/2012;5.97;6242000
17/01/2012;5.88;3941400
18/01/2012;6.04;4910900
19/01/2012;6.26;4455600
20/01/2012;6.37;9818500
23/01/2012;6.26;4500300
24/01/2012;6.41;5945700
25/01/2012;7.52;31771200
26/01/2012;7.85;17160200
27/01/2012;8.18;10372800
30/01/2012;8.52;12675100
31/01/2012;8.44;8566500
01/02/2012;8.9;10240100
02/02/2012;9.12;9256500
03/02/2012;9.64;14608000
06/02/2012;9.15;8942800
07/02/2012;9.24;5481200
08/02/2012;9.1;6540500
09/02/2012;8.96;11884400
10/02/2012;8.85;8493600
13/02/2012;9.18;7812300
14/02/2012;9;7077500
15/02/2012;8.89;5205200
16/02/2012;9.1;6667600
17/02/2012;8.9;4650500
21/02/2012;7.89;15334800
22/02/2012;7.7;5383700
23/02/2012;7.26;12913600
24/02/2012;6.99;8365000
27/02/2012;7;8458200
28/02/2012;7.41;12759000
29/02/2012;7.41;10447500
