Year,Month,LoadFactorDomestic,PassengersDomestic
2002,10,66.36,"1,912,156"
2002,11,63.87,"1,735,527"
2002,12,72.94,"1,990,101"
2002,TOTAL,68.37,"22,455,238"
2003,1,62.05,"1,691,952"
2003,2,65.26,"1,561,678"
2003,3,69.98,"1,951,977"
2003,4,68.52,"1,770,298"
2003,5,73.06,"1,948,301"
2003,6,78.52,"2,066,008"
2003,7,81.21,"2,220,271"
2003,8,75.76,"2,058,910"
2003,9,63.49,"1,677,281"
2003,10,69.42,"1,940,700"
2003,11,69.16,"1,939,177"
2003,12,72.47,"2,110,642"
2003,TOTAL,70.85,"22,937,195"
2004,1,64.97,"1,912,654"
2004,2,67.74,"1,880,923"
2004,3,73.62,"2,231,013"
2004,4,73.26,"2,115,198"
2004,5,74.61,"2,204,423"
2004,6,80.34,"2,332,304"
2004,7,81.42,"2,400,489"
2004,8,74.36,"2,201,457"
2004,9,71.66,"1,985,986"
2004,10,74.87,"2,192,997"
2004,11,73.8,"2,091,506"
2004,12,74.5,"2,113,523"
2004,TOTAL,73.81,"25,662,473"
2005,1,70.76,"1,952,674"
2005,2,73.07,"1,762,974"
2005,3,79.75,"2,168,649"
2005,4,77.79,"2,056,646"
2005,5,78.7,"2,182,266"
2005,6,83.24,"2,328,553"
2005,7,83.73,"2,414,128"
2005,8,76.85,"2,186,923"
2005,9,75.4,"1,998,024"
2005,10,78.57,"2,137,651"
2005,11,79.75,"2,137,506"
2005,12,80.07,"2,147,222"
2005,TOTAL,78.23,"25,473,216"
2006,1,75.04,"2,013,233"
2006,2,78.07,"1,871,478"
2006,3,83.31,"2,246,324"
2006,4,82.9,"2,188,225"
2006,5,84.24,"2,331,076"
2006,6,87.92,"2,382,931"
2006,7,87.78,"2,412,173"
2006,8,78.91,"2,169,476"
2006,9,74.6,"1,968,583"
2006,10,78.29,"2,166,614"
2006,11,79.59,"2,070,310"
2006,12,79.65,"2,138,856"
2006,TOTAL,80.93,"25,959,279"
2007,1,74.36,"1,944,528"
2007,2,78.62,"1,862,273"
2007,3,83.04,"2,248,185"
2007,4,83.13,"2,146,564"
2007,5,83.97,"2,275,247"
2007,6,88.51,"2,304,943"
2007,7,87.77,"2,402,764"
2007,8,83.48,"2,298,706"
2007,9,75.81,"1,988,647"
2007,10,79.18,"2,197,609"
2007,11,80.18,"2,139,381"
2007,12,79.12,"2,073,437"
2007,TOTAL,81.49,"25,882,284"
2008,1,75.71,"1,956,747"
2008,2,78.55,"1,901,839"
2008,3,84.48,"2,082,202"
2008,4,80.98,"1,950,412"
2008,5,82.63,"2,169,750"
2008,6,87.94,"2,286,232"
2008,7,86.53,"2,351,781"
2008,8,81.51,"2,181,822"
2008,9,74.48,"1,860,962"
2008,10,79.4,"2,083,345"
2008,11,76.61,"1,845,563"
2008,12,81.33,"2,019,018"
2008,TOTAL,80.93,"24,689,673"
2009,1,73.37,"1,783,541"
2009,2,75.79,"1,711,344"
2009,3,81.15,"2,064,594"
2009,4,82.07,"2,010,195"
2009,5,81.19,"2,068,553"
