Year,Month,LoadFactorDomestic,PassengersDomestic
2002,10,70.95,"1,171,844"
2002,11,69.19,"1,091,289"
2002,12,75.28,"1,223,043"
2002,TOTAL,71.51,"13,546,675"
2003,1,65.55,"978,873"
2003,2,73.11,"1,024,936"
2003,3,71.87,"1,199,815"
2003,4,71.01,"1,157,014"
2003,5,72.06,"1,163,848"
2003,6,77.01,"1,252,163"
2003,7,80.13,"1,349,534"
2003,8,76.71,"1,269,070"
2003,9,70.35,"1,085,813"
2003,10,73.2,"1,240,375"
2003,11,70.75,"1,143,617"
2003,12,74.78,"1,243,034"
2003,TOTAL,73.12,"14,108,092"
2004,1,63.42,"974,268"
2004,2,69.99,"1,069,606"
2004,3,74.32,"1,298,862"
2004,4,75.07,"1,310,614"
2004,5,72.65,"1,258,115"
2004,6,79.74,"1,384,800"
2004,7,81.78,"1,449,208"
2004,8,77.65,"1,383,591"
2004,9,73.38,"1,184,722"
2004,10,75.46,"1,315,771"
2004,11,73.36,"1,257,157"
2004,12,74.78,"1,273,012"
2004,TOTAL,74.43,"15,159,726"
2005,1,69.24,"1,083,038"
2005,2,74.14,"1,123,629"
2005,3,80.68,"1,433,891"
2005,4,73.73,"1,325,289"
2005,5,77.22,"1,372,460"
2005,6,82.45,"1,429,621"
2005,7,83.37,"1,482,708"
2005,8,79.87,"1,386,978"
2005,9,77.29,"1,232,604"
2005,10,79.78,"1,288,292"
2005,11,78.44,"1,226,054"
2005,12,77.42,"1,232,507"
2005,TOTAL,77.89,"15,617,071"
2006,1,73.72,"1,103,371"
2006,2,81.22,"1,139,050"
2006,3,83.41,"1,363,982"
2006,4,81.42,"1,318,171"
2006,5,83.04,"1,362,512"
2006,6,85.81,"1,380,187"
2006,7,85.12,"1,405,847"
2006,8,82.8,"1,384,781"
2006,9,75.95,"1,220,284"
2006,10,79.87,"1,341,800"
2006,11,78.67,"1,287,985"
2006,12,76.41,"1,272,182"
2006,TOTAL,80.67,"15,580,152"
2007,1,72.31,"1,130,721"
2007,2,79.88,"1,146,367"
2007,3,83.01,"1,386,511"
2007,4,81.19,"1,351,261"
2007,5,81.43,"1,372,100"
2007,6,86.49,"1,366,370"
2007,7,87.08,"1,405,941"
2007,8,86.49,"1,407,573"
2007,9,78.45,"1,200,159"
2007,10,81.29,"1,318,476"
2007,11,80.76,"1,256,578"
2007,12,79.98,"1,224,387"
2007,TOTAL,81.59,"15,566,444"
2008,1,76.34,"1,138,102"
2008,2,82.67,"1,180,924"
2008,3,85.86,"1,377,064"
2008,4,81.68,"1,307,103"
2008,5,83.68,"1,343,517"
2008,6,85.59,"1,368,943"
2008,7,85.59,"1,396,322"
2008,8,86.36,"1,334,885"
2008,9,80.82,"1,127,917"
2008,10,83.99,"1,220,445"
2008,11,79.82,"1,108,330"
2008,12,82.9,"1,169,467"
2008,TOTAL,83.02,"15,073,019"
2009,1,75.78,"1,011,762"
2009,2,80.23,"1,014,790"
2009,3,82.03,"1,206,435"
2009,4,82.74,"1,220,654"
2009,5,82.17,"1,184,207"
2009,6,86.08,"1,253,053"
2009,7,87.4,"1,294,686"
2009,8,86.84,"1,246,420"
2009,9,81.57,"1,065,809"
2009,10,84.86,"1,156,660"
2009,11,79.41,"1,061,254"
2009,12,81.17,"1,090,748"
2009,TOTAL,82.62,"13,806,478"
2010,1,74.55,"978,151"
2010,2,81.16,"960,453"
2010,3,85.66,"1,213,980"
2010,4,82.38,"1,174,651"
2010,5,83.51,"1,212,309"
2010,6,86.81,"1,296,233"
2010,7,87.04,"1,343,343"
2010,8,85.76,"1,335,381"
2010,9,78.43,"1,142,543"
2010,10,83.76,"1,253,770"
2010,11,80.01,"1,145,298"
2010,12,80,"1,125,382"
2010,TOTAL,82.57,"14,181,494"
2011,1,73.64,"997,821"
2011,2,79.39,"939,858"
2011,3,83.34,"1,235,293"
2011,4,81.38,"1,161,321"
2011,5,83.88,"1,210,040"
2011,6,85.99,"1,285,595"
2011,7,87.82,"1,363,116"
2011,8,86.71,"1,329,728"
2011,9,82.56,"1,152,936"
2011,10,85.51,"1,242,541"
2011,11,83.92,"1,164,409"
2011,12,81.81,"1,113,048"
2011,TOTAL,83.13,"14,195,706"
2012,1,76.54,"976,869"
2012,2,82.8,"989,009"
2012,3,86.61,"1,248,624"
2012,4,83.41,"1,165,244"
2012,5,84.45,"1,189,411"
2012,6,87.37,"1,280,315"
2012,7,87.84,"1,312,116"
2012,8,88.44,"1,325,635"
2012,9,81.18,"1,102,631"
2012,10,86.66,"1,218,373"
2012,11,83.79,"1,149,039"
2012,12,81.89,"1,057,069"
2012,TOTAL,84.41,"14,014,335"
2013,1,77.14,"976,657"
2013,2,82.28,"963,762"
2013,3,86.09,"1,263,216"
2013,4,79.04,"1,142,480"
2013,5,84.3,"1,222,079"
2013,6,86.03,"1,268,314"
2013,7,85.62,"1,303,219"
2013,8,86.04,"1,318,564"
2013,9,81.21,"1,130,382"
2013,10,83.57,"1,226,888"
2013,11,79.5,"1,096,434"
2013,12,87.31,"1,142,203"
2013,TOTAL,83.3,"14,054,198"
2014,1,78.87,"970,796"
2014,2,85.57,"985,128"
2014,3,86.07,"1,238,786"
2014,4,85.81,"1,203,220"
2014,5,86.24,"1,253,269"
2014,6,87.51,"1,250,493"
2014,7,88.73,"1,290,602"
2014,8,88.14,"1,289,396"
2014,9,84.35,"1,158,319"
2014,10,86.71,"1,239,780"
2014,11,82.49,"1,110,762"
2014,12,85.09,"1,127,486"
2014,TOTAL,85.56,"14,118,037"
2015,1,77.78,"984,487"
2015,2,85.07,"992,106"
2015,3,85.91,"1,249,641"
2015,4,83.08,"1,208,663"
2015,5,85.82,"1,274,615"
2015,6,87.59,"1,282,490"
2015,7,87.92,"1,357,121"
2015,8,87.48,"1,360,841"
2015,9,84.37,"1,203,506"
