Year,Month,LoadFactorDomestic,PassengersDomestic
2002,10,67.54,"1,063,821"
2002,11,69.2,"1,027,440"
2002,12,75.4,"1,148,957"
2002,TOTAL,72.26,"13,118,165"
2003,1,66.8,"1,001,319"
2003,2,68.82,"938,329"
2003,3,73.79,"1,145,308"
2003,4,73.21,"1,051,907"
2003,5,75.87,"1,138,856"
2003,6,80.89,"1,223,982"
2003,7,84.32,"1,327,383"
2003,8,78.02,"1,192,823"
2003,9,68.42,"1,001,663"
2003,10,72.64,"1,119,665"
2003,11,73.97,"1,099,828"
2003,12,76.21,"1,200,816"
2003,TOTAL,74.61,"13,441,879"
2004,1,67.53,"1,022,434"
2004,2,70.65,"1,035,401"
2004,3,74.04,"1,202,430"
2004,4,77.13,"1,182,114"
2004,5,75.88,"1,188,050"
2004,6,81.83,"1,268,230"
2004,7,85.12,"1,363,953"
2004,8,77.08,"1,225,328"
2004,9,71.52,"1,055,802"
2004,10,76.57,"1,200,953"
2004,11,75.79,"1,194,284"
2004,12,76.32,"1,252,994"
2004,TOTAL,75.91,"14,191,973"
2005,1,75.2,"1,163,246"
2005,2,75.91,"1,102,856"
2005,3,81,"1,393,624"
2005,4,78.41,"1,272,522"
2005,5,81.24,"1,360,022"
2005,6,84.18,"1,421,428"
2005,7,84.86,"1,469,687"
2005,8,79.83,"1,362,858"
2005,9,75.04,"1,091,952"
2005,10,79.05,"1,322,968"
2005,11,80.49,"1,315,701"
2005,12,80.02,"1,378,781"
2005,TOTAL,79.77,"15,655,645"
2006,1,78.98,"1,302,759"
2006,2,80.31,"1,224,667"
2006,3,82.66,"1,472,196"
2006,4,84.3,"1,404,955"
2006,5,84.74,"1,484,388"
2006,6,85.48,"1,514,314"
2006,7,85.7,"1,543,685"
2006,8,81.25,"1,443,713"
2006,9,78.97,"1,275,208"
2006,10,80.39,"1,392,813"
2006,11,81.98,"1,392,450"
2006,12,81.24,"1,423,707"
2006,TOTAL,82.23,"16,874,855"
2007,1,78.39,"1,328,594"
2007,2,80.25,"1,264,355"
2007,3,82.26,"1,480,625"
2007,4,83.45,"1,436,668"
2007,5,84.69,"1,495,982"
2007,6,86.59,"1,482,370"
2007,7,86.22,"1,497,577"
2007,8,84.7,"1,488,465"
2007,9,79.87,"1,269,101"
2007,10,80.6,"1,419,649"
2007,11,82.21,"1,389,471"
2007,12,80.93,"1,410,862"
2007,TOTAL,82.58,"16,963,719"
