Year,Month,LoadFactorDomestic,PassengersDomestic
2002,10,64.68,"869,043"
2002,11,64.54,"818,717"
2002,12,71.99,"890,226"
2002,TOTAL,67.77,"9,623,021"
2003,1,60.12,"729,478"
2003,2,65.2,"674,490"
2003,3,67.22,"852,594"
2003,4,69.35,"863,681"
2003,5,69.2,"866,652"
2003,6,74.1,"922,004"
2003,7,79.32,"1,003,240"
2003,8,76.84,"981,047"
2003,9,61.54,"756,737"
2003,10,69.85,"913,406"
2003,11,68.43,"853,069"
2003,12,70.46,"880,721"
2003,TOTAL,69.49,"10,297,119"
2004,1,59.86,"747,234"
2004,2,64.35,"786,611"
2004,3,70.35,"929,472"
2004,4,75.05,"973,927"
2004,5,72.39,"979,927"
2004,6,79.96,"1,083,519"
2004,7,82.6,"1,162,714"
2004,8,77.89,"1,130,646"
2004,9,66.91,"897,786"
2004,10,73.18,"1,113,228"
2004,11,69.24,"1,107,020"
2004,12,68.91,"1,093,551"
2004,TOTAL,71.93,"12,005,635"
2005,1,66.14,"961,496"
2005,2,68.43,"966,512"
2005,3,77.64,"1,265,220"
2005,4,72.97,"1,153,002"
2005,5,74.94,"1,209,905"
2005,6,81.71,"1,249,474"
2005,7,83.22,"1,267,194"
2005,8,78.83,"1,215,200"
2005,9,71.71,"1,014,829"
2005,10,76.34,"1,110,106"
2005,11,75.58,"1,088,945"
2005,12,72.87,"1,033,071"
2005,TOTAL,75.13,"13,534,954"
2006,1,68.71,"929,496"
2006,2,74,"946,689"
2006,3,78.78,"1,204,227"
2006,4,80.77,"1,197,681"
2006,5,78.38,"1,224,831"
2006,6,83.73,"1,249,608"
2006,7,83.18,"1,279,454"
2006,8,80.7,"1,263,142"
2006,9,69.31,"1,006,878"
2006,10,75.59,"1,153,215"
2006,11,76.32,"1,122,789"
2006,12,72.83,"1,061,948"
2006,TOTAL,77.01,"13,639,958"
2007,1,68.56,"994,247"
2007,2,74.35,"941,986"
2007,3,79.88,"1,188,099"
2007,4,79.74,"1,187,683"
2007,5,80.12,"1,229,075"
2007,6,86.4,"1,266,248"
2007,7,86.73,"1,311,283"
2007,8,87.09,"1,321,898"
2007,9,75.49,"1,066,805"
2007,10,80.53,"1,194,317"
2007,11,78.49,"1,124,874"
2007,12,74.69,"1,030,473"
2007,TOTAL,79.46,"13,856,988"
2008,1,72.62,"1,006,905"
2008,2,75.97,"992,169"
2008,3,81.78,"1,214,322"
2008,4,80.23,"1,175,493"
2008,5,80.07,"1,199,191"
2008,6,84.29,"1,267,853"
2008,7,85.55,"1,312,253"
2008,8,85.03,"1,296,024"
2008,9,74.74,"1,028,674"
2008,10,80.54,"1,186,160"
2008,11,74.87,"1,004,830"
2008,12,79.78,"1,061,746"
2008,TOTAL,79.83,"13,745,620"
2009,1,72,"926,892"
2009,2,74.85,"906,329"
2009,3,78.66,"1,108,147"
2009,4,82.77,"1,131,665"
2009,5,80.44,"1,133,259"
2009,6,84.76,"1,196,337"
2009,7,87.2,"1,282,610"
2009,8,85.54,"1,241,616"
2009,9,76.23,"1,024,925"
2009,10,80.82,"1,143,070"
2009,11,76.66,"1,034,732"
2009,12,79.08,"1,014,871"
2009,TOTAL,80.16,"13,144,453"
2010,1,72.37,"930,492"
2010,2,77.36,"790,246"
2010,3,83.06,"1,139,171"
2010,4,79.74,"1,085,476"
2010,5,81.13,"1,130,729"
2010,6,85.36,"1,181,631"
2010,7,86.19,"1,220,113"
2010,8,85.6,"1,231,577"
2010,9,77.51,"1,056,099"
2010,10,82.88,"1,172,411"
2010,11,79.83,"1,080,533"
2010,12,79.73,"1,033,466"
2010,TOTAL,81.11,"13,051,944"
2011,1,76.03,"933,477"
2011,2,76.61,"878,945"
2011,3,80.22,"1,135,612"
2011,4,81.38,"1,087,043"
2011,5,83.45,"1,144,493"
2011,6,84.94,"1,160,749"
2011,7,86.47,"1,191,778"
2011,8,87.36,"1,154,385"
2011,9,79.91,"1,040,564"
2011,10,82.24,"1,109,540"
