,AirPort,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,CloudCover,WindDirDegrees,DateOfDeparture,LoadFactorDomestic,PassengersDomestic,year,month,day,weekday,week,n_days,oil_stock_price,oil_stock_volume,AAL_stock_price,AAL_stock_volume,SP_stock_price,SP_stock_volume,latitude_deg,longitude_deg,state,pop2010
0,ATL,35,29,24,21,18,14,79,56,32,1022,1019,1017,16,16,11,19,6,3,129,2011-09-01,82.97,3233004,2011,9,1,3,35,15218,88.93,282342.0,5.29,6677100.0,1204.420044,4780410000.0,33.63669967651367,-84.4281005859375,GA,429193.0
1,ATL,36,29,22,17,15,14,61,46,30,1019,1016,1014,16,16,16,24,7,2,185,2011-09-02,82.97,3233004,2011,9,2,4,35,15219,86.449997,307284.0,5.22,5097500.0,1173.969971,4401740000.0,33.63669967651367,-84.4281005859375,GA,429193.0
2,ATL,35,29,23,17,16,14,64,47,30,1015,1013,1011,16,16,16,19,7,4,147,2011-09-03,82.97,3233004,2011,9,3,5,35,15220,86.342497,309504.5,5.175,5138775.0,1171.7874757499999,4577300000.0,33.63669967651367,-84.4281005859375,GA,429193.0
3,ATL,27,24,22,22,19,16,93,72,51,1014,1012,1011,16,14,4,21,9,6,139,2011-09-04,82.97,3233004,2011,9,4,6,35,15221,86.23499699999999,311725.0,5.13,5180050.0,1169.6049805,4752860000.0,33.63669967651367,-84.4281005859375,GA,429193.0
4,ATL,26,24,22,23,22,20,94,91,87,1010,1005,999,16,13,3,32,16,8,149,2011-09-05,82.97,3233004,2011,9,5,0,36,15222,86.127497,313945.5,5.085,5221325.0,1167.4224852500001,4928420000.0,33.63669967651367,-84.4281005859375,GA,429193.0
5,ATL,24,19,14,22,15,13,90,87,84,1011,1006,998,16,12,4,47,18,8,212,2011-09-06,82.97,3233004,2011,9,6,1,36,15223,86.019997,316166.0,5.04,5262600.0,1165.23999,5103980000.0,33.63669967651367,-84.4281005859375,GA,429193.0
6,ATL,21,18,14,14,14,13,93,81,68,1016,1014,1011,16,13,2,23,13,8,297,2011-09-07,82.97,3233004,2011,9,7,2,36,15224,89.339996,313728.0,5.21,4519100.0,1198.619995,4441040000.0,33.63669967651367,-84.4281005859375,GA,429193.0
7,ATL,23,19,14,14,13,12,87,70,53,1015,1014,1013,16,16,16,27,15,5,322,2011-09-08,82.97,3233004,2011,9,8,3,36,15225,89.050003,336725.0,5.14,4435900.0,1185.900024,4465170000.0,33.63669967651367,-84.4281005859375,GA,429193.0
8,ATL,27,21,14,13,12,11,93,65,36,1015,1014,1013,16,16,16,26,11,1,302,2011-09-09,82.97,3233004,2011,9,9,4,36,15226,87.239998,349238.0,5.02,6297900.0,1154.22998,4586370000.0,33.63669967651367,-84.4281005859375,GA,429193.0
9,ATL,29,22,14,13,11,7,84,56,28,1019,1016,1015,16,16,16,21,9,0,321,2011-09-10,82.97,3233004,2011,9,10,5,36,15227,87.556666,351182.0,4.963333333333333,7043200.0,1156.9099933333334,4780430000.0,33.63669967651367,-84.4281005859375,GA,429193.0
10,ATL,30,23,16,13,11,7,72,49,25,1020,1018,1017,16,16,16,21,6,2,294,2011-09-11,82.97,3233004,2011,9,11,6,36,15228,87.873334,353126.0,4.906666666666666,7788500.0,1159.5900066666666,4974490000.0,33.63669967651367,-84.4281005859375,GA,429193.0
11,ATL,31,24,18,16,13,12,73,54,34,1021,1018,1016,16,16,14,24,11,1,303,2011-09-12,82.97,3233004,2011,9,12,0,37,15229,88.190002,355070.0,4.85,8533800.0,1162.27002,5168550000.0,33.63669967651367,-84.4281005859375,GA,429193.0
12,ATL,32,25,18,15,13,11,78,54,29,1018,1016,1015,16,16,16,21,10,2,319,2011-09-13,82.97,3233004,2011,9,13,1,37,15230,90.209999,364262.0,5.64,24655700.0,1172.869995,4681370000.0,33.63669967651367,-84.4281005859375,GA,429193.0
13,ATL,33,26,19,14,12,9,63,44,24,1016,1014,1012,16,16,16,21,6,3,330,2011-09-14,82.97,3233004,2011,9,14,2,37,15231,88.910004,330978.0,5.74,11585200.0,1188.680054,4986740000.0,33.63669967651367,-84.4281005859375,GA,429193.0
14,ATL,30,23,16,19,15,12,78,63,48,1018,1014,1012,16,16,16,35,16,5,305,2011-09-15,82.97,3233004,2011,9,15,3,37,15232,89.400002,296285.0,5.86,7429900.0,1209.109985,4479730000.0,33.63669967651367,-84.4281005859375,GA,429193.0
15,ATL,22,18,13,12,11,8,80,65,49,1024,1021,1017,16,16,16,37,19,5,65,2011-09-16,82.97,3233004,2011,9,16,4,37,15233,87.959999,210962.0,5.91,4586600.0,1216.01001,5248890000.0,33.63669967651367,-84.4281005859375,GA,429193.0
16,ATL,26,20,13,12,9,8,72,56,40,1025,1023,1021,16,16,16,26,14,4,84,2011-09-17,82.97,3233004,2011,9,17,5,37,15234,87.206665,184715.0,5.873333333333333,4440733.333333333,1212.036662,4917323333.333333,33.63669967651367,-84.4281005859375,GA,429193.0
17,ATL,25,20,14,13,13,12,86,66,46,1026,1024,1022,16,16,16,26,17,5,97,2011-09-18,82.97,3233004,2011,9,18,6,37,15235,86.45333099999999,158468.0,5.836666666666667,4294866.666666667,1208.063314,4585756666.666667,33.63669967651367,-84.4281005859375,GA,429193.0
18,ATL,25,21,17,13,13,12,78,64,50,1022,1020,1017,16,16,16,26,18,6,89,2011-09-19,82.97,3233004,2011,9,19,0,38,15236,85.699997,132221.0,5.8,4149000.0,1204.089966,4254190000.0,33.63669967651367,-84.4281005859375,GA,429193.0
19,ATL,28,23,18,19,16,13,90,71,51,1020,1018,1016,16,15,10,26,16,8,92,2011-09-20,82.97,3233004,2011,9,20,1,38,15237,86.889999,264593.0,5.97,6913600.0,1202.089966,4315610000.0,33.63669967651367,-84.4281005859375,GA,429193.0
20,ATL,30,26,21,19,19,18,90,71,51,1019,1018,1016,16,12,1,21,8,7,128,2011-09-21,82.97,3233004,2011,9,21,2,38,15238,85.91999799999999,298905.0,5.85,9122200.0,1166.76001,4728550000.0,33.63669967651367,-84.4281005859375,GA,429193.0
21,ATL,27,24,21,21,20,18,93,80,67,1021,1019,1017,16,13,3,16,9,7,126,2011-09-22,82.97,3233004,2011,9,22,3,38,15239,80.510002,459998.0,5.73,15729600.0,1129.560059,6703140000.0,33.63669967651367,-84.4281005859375,GA,429193.0
