Year,Month,LoadFactorDomestic,PassengersDomestic
2002,10,69.43,"861,825"
2002,11,61.85,"723,987"
2002,12,71.47,"773,015"
2002,TOTAL,65.93,"9,051,373"
2003,1,56.59,"619,641"
2003,2,68.04,"641,163"
2003,3,66.87,"752,282"
2003,4,70.28,"769,225"
2003,5,70.29,"778,831"
2003,6,74.15,"841,934"
2003,7,76.11,"878,637"
2003,8,78.44,"902,448"
2003,9,63.61,"724,179"
2003,10,74.72,"896,617"
2003,11,67.53,"771,457"
2003,12,74.12,"783,575"
2003,TOTAL,70.2,"9,359,989"
2004,1,60.72,"664,078"
2004,2,68.39,"776,275"
2004,3,70.22,"877,732"
2004,4,73.71,"952,022"
2004,5,69.45,"893,518"
2004,6,75.14,"987,918"
2004,7,76.89,"1,008,852"
2004,8,78.87,"1,044,857"
2004,9,68,"837,616"
2004,10,77.09,"1,012,673"
2004,11,71.16,"894,009"
2004,12,70.54,"867,802"
2004,TOTAL,71.97,"10,817,352"
2005,1,67.3,"733,148"
2005,2,73.14,"816,257"
2005,3,76.96,"949,957"
2005,4,77.09,"997,140"
2005,5,73.95,"967,626"
2005,6,79.84,"995,524"
2005,7,84.41,"1,045,969"
2005,8,82.92,"1,034,299"
2005,9,72.42,"884,211"
2005,10,80.04,"972,251"
2005,11,74.96,"933,461"
2005,12,74.12,"885,114"
2005,TOTAL,76.56,"11,214,957"
2006,1,68.75,"790,551"
2006,2,76.88,"840,925"
2006,3,78.97,"1,017,642"
2006,4,80.68,"1,031,780"
2006,5,78.15,"984,342"
2006,6,83.16,"1,022,824"
2006,7,84.57,"1,053,820"
2006,8,82.67,"1,059,102"
2006,9,71.94,"881,299"
2006,10,80.34,"1,045,018"
2006,11,76.85,"973,249"
2006,12,74.47,"925,937"
2006,TOTAL,78.21,"11,626,489"
2007,1,66.67,"819,055"
2007,2,75.28,"837,892"
2007,3,79.51,"1,028,402"
2007,4,79.9,"1,055,570"
2007,5,80.56,"1,038,814"
2007,6,87.34,"1,080,692"
2007,7,88.14,"1,098,776"
2007,8,89.05,"1,137,134"
2007,9,74.94,"901,151"
2007,10,83.67,"1,055,018"
2007,11,79.07,"949,635"
2007,12,76.79,"851,131"
2007,TOTAL,80.18,"11,853,270"
2008,1,68.86,"763,846"
2008,2,75.85,"838,410"
2008,3,76.54,"951,901"
2008,4,78.02,"1,001,920"
2008,5,78.28,"976,416"
2008,6,82.77,"1,016,808"
2008,7,84.63,"1,042,481"
2008,8,85.87,"1,053,086"
2008,9,76.53,"824,331"
2008,10,82.66,"932,013"
2008,11,75.26,"798,474"
2008,12,79.6,"825,896"
2008,TOTAL,78.85,"11,025,582"
2009,1,68.1,"669,584"
2009,2,74.35,"741,142"
2009,3,75.97,"858,360"
2009,4,78.5,"924,771"
2009,5,78.64,"916,189"
2009,6,81.99,"953,409"
2009,7,87.39,"1,048,288"
2009,8,87.46,"1,063,442"
