Year,Month,LoadFactorDomestic,PassengersDomestic
2002,10,65.61,"893,520"
2002,11,64.01,"849,925"
2002,12,71.54,"891,351"
2002,TOTAL,68.18,"10,075,071"
2003,1,58.94,"712,522"
2003,2,65.01,"716,877"
2003,3,70.53,"921,831"
2003,4,69.81,"884,202"
2003,5,69.95,"939,978"
2003,6,73.26,"957,352"
2003,7,76.36,"1,022,775"
2003,8,72.72,"972,861"
2003,9,60.75,"772,265"
2003,10,69.16,"957,982"
2003,11,68.67,"909,006"
2003,12,70.52,"935,284"
2003,TOTAL,69.02,"10,702,935"
2004,1,60.41,"789,665"
2004,2,64.73,"810,037"
2004,3,72.8,"1,001,728"
2004,4,76.02,"1,031,492"
2004,5,72.99,"989,577"
2004,6,78.08,"1,025,136"
2004,7,80.19,"1,072,443"
2004,8,73.11,"986,320"
2004,9,64.78,"841,196"
2004,10,72.47,"1,044,518"
2004,11,70.3,"1,002,336"
2004,12,69.85,"995,971"
2004,TOTAL,71.35,"11,590,419"
2005,1,65.05,"904,022"
2005,2,66.64,"946,443"
2005,3,75.79,"1,230,758"
2005,4,70.71,"1,133,711"
2005,5,72.02,"1,171,461"
2005,6,75.92,"1,197,573"
2005,7,77.13,"1,227,641"
2005,8,70.16,"1,104,714"
2005,9,67.21,"977,628"
2005,10,71.64,"1,076,467"
2005,11,71.09,"1,032,786"
2005,12,69.46,"1,008,629"
2005,TOTAL,71.22,"13,011,833"
2006,1,67.33,"937,852"
2006,2,74.74,"964,428"
2006,3,81.83,"1,206,871"
2006,4,82.26,"1,173,745"
2006,5,82.51,"1,228,585"
2006,6,85.28,"1,212,563"
2006,7,84.49,"1,229,298"
2006,8,79.22,"1,167,305"
2006,9,70.81,"1,038,016"
2006,10,76.87,"1,203,711"
2006,11,78.03,"1,196,615"
2006,12,75.55,"1,161,321"
2006,TOTAL,78.26,"13,720,310"
2007,1,73.91,"1,140,818"
2007,2,78.31,"1,091,294"
2007,3,82.61,"1,328,824"
2007,4,83.09,"1,313,657"
2007,5,83.26,"1,383,588"
2007,6,85.59,"1,358,508"
2007,7,86.68,"1,414,464"
2007,8,85.2,"1,397,273"
2007,9,77.3,"1,214,884"
2007,10,81.41,"1,373,268"
2007,11,79.09,"1,296,389"
2007,12,75.17,"1,207,906"
2007,TOTAL,81.04,"15,520,873"
2008,1,74.47,"1,211,535"
2008,2,78.4,"1,214,082"
2008,3,83.21,"1,376,621"
2008,4,82.13,"1,341,599"
