Year,Month,LoadFactorDomestic,PassengersDomestic
2002,10,64.98,"1,293,819"
2002,11,61.87,"1,147,358"
2002,12,72.15,"1,437,904"
2002,TOTAL,69.39,"15,905,103"
2003,1,65.98,"1,276,666"
2003,2,69.36,"1,197,208"
2003,3,76.9,"1,439,085"
2003,4,71.44,"1,288,119"
2003,5,75.81,"1,397,147"
2003,6,80.2,"1,575,468"
2003,7,83.25,"1,737,351"
2003,8,80.89,"1,661,015"
2003,9,72.22,"1,376,431"
2003,10,74.64,"1,472,405"
2003,11,71.69,"1,334,660"
2003,12,74.46,"1,523,781"
2003,TOTAL,74.94,"17,279,336"
2004,1,70.02,"1,420,640"
2004,2,71.31,"1,386,744"
2004,3,79.17,"1,702,288"
2004,4,74.99,"1,543,719"
2004,5,75.04,"1,622,802"
2004,6,83.16,"1,842,689"
2004,7,84.48,"1,970,664"
2004,8,80.48,"1,871,338"
2004,9,73.88,"1,548,863"
2004,10,75.64,"1,598,030"
2004,11,74.96,"1,477,855"
2004,12,75.96,"1,603,105"
2004,TOTAL,76.82,"19,588,737"
2005,1,75.33,"1,499,626"
2005,2,75.74,"1,399,025"
2005,3,82.98,"1,683,692"
2005,4,79.47,"1,512,150"
2005,5,80.11,"1,684,747"
2005,6,86.43,"1,876,197"
2005,7,86.71,"1,984,326"
2005,8,82.84,"1,881,356"
2005,9,77.3,"1,608,517"
2005,10,76.92,"1,637,949"
2005,11,75.91,"1,523,152"
2005,12,76.56,"1,634,205"
2005,TOTAL,79.88,"19,924,942"
2006,1,75.97,"1,618,330"
2006,2,78.1,"1,545,246"
2006,3,86.41,"1,950,046"
2006,4,82.63,"1,753,850"
2006,5,82.69,"1,922,831"
2006,6,87.64,"2,039,064"
2006,7,88.23,"2,131,831"
2006,8,82.29,"2,025,759"
2006,9,77.09,"1,752,862"
2006,10,79.28,"1,839,728"
2006,11,76.9,"1,698,997"
2006,12,74.77,"1,560,253"
2006,TOTAL,81.17,"21,838,797"
2007,1,74.45,"1,713,797"
2007,2,76.68,"1,615,133"
2007,3,84.18,"2,038,167"
2007,4,82.16,"1,860,634"
2007,5,82.87,"1,978,613"
2007,6,88.18,"2,101,018"
2007,7,88.38,"2,235,035"
2007,8,86.13,"2,175,567"
2007,9,78.81,"1,841,190"
2007,10,80.34,"1,939,447"
2007,11,77.06,"1,769,170"
2007,12,73.76,"1,730,529"
2007,TOTAL,81.28,"22,998,300"
2008,1,75.14,"1,713,640"
2008,2,77.24,"1,724,696"
2008,3,84.06,"2,040,598"
2008,4,80.03,"1,852,006"
2008,5,81.21,"2,016,239"
2008,6,85.26,"2,164,789"
2008,7,85.79,"2,263,419"
2008,8,83.71,"2,178,537"
2008,9,80.45,"1,834,885"
2008,10,81.51,"1,904,432"
2008,11,74.96,"1,674,668"
2008,12,77.73,"1,796,853"
2008,TOTAL,80.79,"23,164,762"
2009,1,72.17,"1,666,488"
2009,2,73.18,"1,584,983"
2009,3,81.45,"1,989,665"
2009,4,79.84,"1,780,782"
2009,5,81.22,"1,917,628"
2009,6,85.56,"2,138,014"
2009,7,88.81,"2,319,711"
2009,8,86.44,"2,217,002"
2009,9,81.79,"1,886,595"
2009,10,82.33,"1,924,947"
2009,11,77.9,"1,736,290"
2009,12,78.54,"1,844,445"
2009,TOTAL,81,"23,006,550"
2010,1,74.93,"1,725,757"
2010,2,76.35,"1,637,531"
2010,3,84.41,"2,080,576"
2010,4,82.38,"1,902,851"
2010,5,83.5,"2,046,491"
2010,6,88.23,"2,234,149"
2010,7,89.25,"2,361,533"
