Year,Month,LoadFactorDomestic,PassengersDomestic
2002,10,80.12,"1,211,108"
2002,11,76.36,"1,180,223"
2002,12,75.44,"1,174,078"
2002,TOTAL,77.63,"15,041,507"
2003,1,77.81,"1,253,995"
2003,2,78.72,"1,178,244"
2003,3,83.52,"1,399,653"
2003,4,80.89,"1,294,743"
2003,5,82.92,"1,353,836"
2003,6,85.63,"1,396,773"
2003,7,85.24,"1,443,385"
2003,8,84.82,"1,462,733"
2003,9,77.09,"1,320,668"
2003,10,80.55,"1,443,630"
2003,11,74.78,"1,340,729"
2003,12,69.42,"1,264,755"
2003,TOTAL,80.03,"16,153,144"
2004,1,72.19,"1,330,626"
2004,2,76.2,"1,372,696"
2004,3,82.34,"1,620,655"
2004,4,83.69,"1,582,143"
2004,5,82.94,"1,629,677"
2004,6,84.01,"1,603,461"
2004,7,84.22,"1,644,886"
2004,8,83.51,"1,650,277"
2004,9,79.91,"1,524,120"
2004,10,83.46,"1,670,015"
2004,11,79.61,"1,553,246"
2004,12,72.73,"1,464,711"
2004,TOTAL,80.51,"18,646,513"
2005,1,76.33,"1,507,019"
2005,2,77.48,"1,407,073"
2005,3,85.51,"1,743,505"
2005,4,83.98,"1,679,709"
2005,5,85.55,"1,800,535"
2005,6,86.25,"1,733,541"
2005,7,86.79,"1,807,535"
2005,8,84.45,"1,775,183"
2005,9,79.98,"1,626,122"
2005,10,83.41,"1,753,227"
2005,11,82.08,"1,651,270"
2005,12,77.74,"1,569,592"
2005,TOTAL,82.58,"20,054,311"
2006,1,78.8,"1,587,055"
2006,2,83.14,"1,524,273"
2006,3,86.73,"1,823,142"
2006,4,87.2,"1,769,305"
2006,5,84.93,"1,794,851"
2006,6,86.5,"1,783,290"
2006,7,86.27,"1,835,127"
2006,8,84.21,"1,794,837"
2006,9,79.29,"1,638,038"
2006,10,83.44,"1,798,861"
2006,11,81.43,"1,691,653"
2006,12,78.64,"1,646,528"
2006,TOTAL,83.42,"20,686,960"
2007,1,79.14,"1,625,850"
2007,2,81.14,"1,520,831"
2007,3,86.36,"1,843,701"
2007,4,85.73,"1,784,150"
2007,5,84.61,"1,838,159"
2007,6,89.22,"1,851,110"
2007,7,88.81,"1,900,139"
2007,8,88.51,"1,892,959"
2007,9,81.55,"1,708,629"
2007,10,82.28,"1,810,917"
2007,11,79.04,"1,673,529"
2007,12,78.48,"1,630,878"
