Year,Month,LoadFactorDomestic,PassengersDomestic
2002,10,74.99,"963,671"
2002,11,75.61,"959,769"
2002,12,76.47,"1,008,717"
2002,TOTAL,78.19,"12,045,173"
2003,1,75.86,"998,239"
2003,2,77.33,"935,322"
2003,3,82.72,"1,159,957"
2003,4,80.31,"1,065,512"
2003,5,79.96,"1,036,026"
2003,6,80.11,"1,033,043"
2003,7,83.24,"1,125,936"
2003,8,81.79,"1,110,167"
2003,9,63.76,"798,919"
2003,10,74.9,"1,044,190"
2003,11,76.79,"1,068,071"
2003,12,73.55,"1,059,379"
2003,TOTAL,77.58,"12,434,761"
2004,1,76.97,"1,112,966"
2004,2,80.02,"1,161,765"
2004,3,84.75,"1,342,897"
2004,4,84.04,"1,296,031"
2004,5,83.84,"1,264,246"
2004,6,83.17,"1,229,087"
2004,7,84.21,"1,289,114"
2004,8,80.49,"1,189,465"
2004,9,64.99,"738,756"
2004,10,77.11,"1,186,499"
2004,11,76.93,"1,213,514"
2004,12,73.81,"1,210,504"
2004,TOTAL,79.48,"14,234,844"
2005,1,78.49,"1,280,823"
2005,2,79.66,"1,240,561"
2005,3,83.83,"1,492,942"
2005,4,82.18,"1,384,536"
2005,5,84.55,"1,360,350"
2005,6,83.2,"1,303,170"
2005,7,84.42,"1,384,916"
2005,8,78.8,"1,250,399"
2005,9,71.47,"1,010,012"
2005,10,77.83,"1,218,877"
2005,11,77.82,"1,267,834"
2005,12,75.49,"1,275,942"
2005,TOTAL,79.93,"15,470,362"
2006,1,78.96,"1,314,135"
2006,2,78.72,"1,212,786"
2006,3,84.39,"1,514,036"
2006,4,84.88,"1,477,298"
2006,5,85.1,"1,423,899"
2006,6,84.49,"1,358,264"
2006,7,84.9,"1,416,149"
2006,8,80.18,"1,300,499"
2006,9,69.97,"1,010,615"
2006,10,76.4,"1,198,474"
2006,11,79.56,"1,242,983"
2006,12,79.19,"1,261,468"
2006,TOTAL,80.77,"15,730,606"
2007,1,79.1,"1,319,030"
2007,2,80.17,"1,246,576"
2007,3,83.55,"1,512,929"
2007,4,84.69,"1,505,207"
2007,5,83.69,"1,459,008"
2007,6,84.18,"1,429,838"
2007,7,83.92,"1,492,300"
2007,8,81.73,"1,444,745"
2007,9,69.63,"1,100,356"
2007,10,76.72,"1,303,194"
2007,11,78.12,"1,336,309"
2007,12,74.94,"1,332,061"
2007,TOTAL,80.16,"16,481,553"
2008,1,78.81,"1,383,289"
2008,2,80.85,"1,367,644"
2008,3,84.32,"1,619,419"
2008,4,82.95,"1,500,050"
2008,5,82.07,"1,434,543"
2008,6,83.76,"1,397,859"
2008,7,84.41,"1,440,962"
2008,8,83.3,"1,346,136"
2008,9,70.25,"941,173"
2008,10,79.94,"1,166,661"
2008,11,75.67,"1,147,394"
2008,12,78.53,"1,234,577"
2008,TOTAL,80.73,"15,979,707"
2009,1,78.46,"1,216,935"
2009,2,79.41,"1,154,517"
2009,3,84.84,"1,443,660"
2009,4,84.9,"1,370,772"
2009,5,82.06,"1,280,923"
