Year,Month,LoadFactorDomestic,PassengersDomestic
2002,10,61.43,"523,140"
2002,11,68.32,"577,629"
2002,12,71.57,"634,826"
2002,TOTAL,70.42,"7,156,596"
2003,1,75.71,"676,466"
2003,2,71.78,"590,231"
2003,3,76.03,"707,601"
2003,4,71.79,"621,626"
2003,5,69.96,"588,555"
2003,6,70.2,"571,548"
2003,7,73.74,"617,312"
2003,8,76,"627,893"
2003,9,56.86,"441,528"
2003,10,63.37,"528,829"
2003,11,67.9,"609,323"
2003,12,66.87,"621,359"
2003,TOTAL,70.17,"7,202,271"
2004,1,75.47,"702,337"
2004,2,71.67,"647,673"
2004,3,77.23,"747,615"
2004,4,76.47,"698,587"
2004,5,69.95,"626,404"
2004,6,72.75,"613,559"
2004,7,75.91,"651,537"
2004,8,76,"628,568"
2004,9,61.27,"408,835"
2004,10,66.01,"552,169"
2004,11,70.74,"593,764"
2004,12,69.18,"606,305"
2004,TOTAL,72.2,"7,477,353"
2005,1,82.11,"715,908"
2005,2,74.88,"612,701"
2005,3,82.36,"757,091"
2005,4,80.41,"691,375"
2005,5,78.28,"677,035"
2005,6,78.44,"662,335"
2005,7,79.7,"700,027"
2005,8,77.49,"629,120"
2005,9,71.03,"517,705"
2005,10,71.27,"518,011"
2005,11,74.76,"637,833"
2005,12,74.76,"677,042"
2005,TOTAL,77.31,"7,796,183"
2006,1,81.81,"762,968"
2006,2,78.71,"669,832"
2006,3,82.78,"797,568"
2006,4,85.52,"772,233"
2006,5,82.58,"728,119"
2006,6,82.68,"702,380"
2006,7,83.77,"725,682"
2006,8,79.24,"650,481"
2006,9,68.72,"527,786"
2006,10,75.23,"606,633"
2006,11,81.11,"652,569"
2006,12,78.3,"683,029"
2006,TOTAL,80.22,"8,279,280"
2007,1,81.23,"752,384"
2007,2,78.13,"664,147"
2007,3,83.33,"788,841"
2007,4,86.39,"762,349"
2007,5,84.28,"721,463"
2007,6,86.67,"706,780"
2007,7,88.41,"737,517"
2007,8,86.84,"717,070"
2007,9,75.34,"593,269"
2007,10,79.07,"659,083"
2007,11,81.35,"678,868"
2007,12,78.39,"681,683"
2007,TOTAL,82.49,"8,463,454"
2008,1,84.81,"756,130"
2008,2,80.38,"675,946"
2008,3,86.61,"790,006"
2008,4,84.69,"724,212"
2008,5,84.64,"721,541"
2008,6,85.55,"688,814"
2008,7,85.91,"714,036"
2008,8,85.71,"711,052"
