Rank;Airports (large hubs);IATA;Major city served;State;2019;2018;2017;2016
1;Hartsfield-Jackson Atlanta International Airport;ATL;Atlanta;GA;;51866464;50251964;50501858
2;Los Angeles International Airport;LAX;Los Angeles;CA;;42626783;41232432;39636042
3;O'Hare International Airport;ORD;Chicago;IL;;39874879;38593028;37589899
4;Dallas/Fort Worth International Airport;DFW;Dallas;TX;;32800721;31816933;31283579
5;Denver International Airport;DEN;Denver;CO;;31363573;29809097;28267394
6;John F. Kennedy International Airport;JFK;New York;NY;;30541459;29533154;29239151
7;San Francisco International Airport;SFO;San Francisco;CA;;27794154;26900048;25707101
8;Seattle-Tacoma International Airport;SEA;Seattle;WA;;24894338;22639124;21887110
9;McCarran International Airport;LAS;Las Vegas;NV;;23655285;23364393;22833267
10;Orlando International Airport;MCO;Orlando;FL;;23184634;21565448;20283541
11;Newark Liberty International Airport;EWR;New York;NJ;;22798354;21571198;19923009
12;Charlotte Douglas International Airport;CLT;Charlotte;NC;24199688;22283574;22011251;21511880
13;Phoenix Sky Harbor International Airport;PHX;Phoenix;AZ;;21623842;21185458;20896265
14;George Bush Intercontinental Airport;IAH;Houston;TX;;21157948;19603731;20062072
15;Miami International Airport;MIA;Miami;FL;;21025210;20709225;20875813
16;General Edward Lawrence Logan International Airport;BOS;Boston;MA;;20010262;18759742;17749202
17;Minneapolis-Saint Paul International Airport;MSP;Minneapolis;MN;;18363493;18409704;18123844
18;Fort Lauderdale-Hollywood International Airport;FLL;Fort Lauderdale;FL;;17613957;15817043;14263270
19;Detroit Metropolitan Airport;DTW;Detroit;MI;;17437716;17036092;16826287
20;Philadelphia International Airport;PHL;Philadelphia;PA;;15285948;14271243;14564419
21;LaGuardia Airport;LGA;New York;NY;;15059648;14614802;14706123
22;Baltimore-Washington International Airport;BWI;Baltimore;MD;;13373773;12976554;12340972
23;Salt Lake City International Airport;SLC;Salt Lake City;UT;;12228677;11615954;11143738
24;San Diego International Airport;SAN;San Diego;CA;;12176303;11139933;10340164
25;Washington Dulles International Airport;IAD;Washington, D.C.;VA;;11628309;11024306;10596942
26;Ronald Reagan Washington National Airport;DCA;Washington, D.C.;VA;;11367176;11506310;11470854
27;Chicago Midway International Airport;MDW;Chicago;IL;;10685565;10912074;11044353
28;Tampa International Airport;TPA;Tampa;FL;;10369622;9548580;9194994
29;Portland International Airport;PDX;Portland;OR;9946422;9940866;9435473;9071154
30;Daniel K. Inouye International Airport;HNL;Honolulu;HI;;9578505;9743989;9656340
