DateOfDeparture;ATL;BOS;CLT;DEN;DFW;DTW;EWR;IAH;JFK;LAS;LAX;LGA;MCO;MIA;MSP;ORD;PHL;PHX;SEA;SFO
01/01/2011;47;44;30;53;43;44;63;96;63;63;41;63;59;64;79;63;54;25;37;67
02/01/2011;47;44;30;53;43;44;63;96;63;63;41;63;59;64;79;63;54;25;37;67
03/01/2011;47;44;30;53;43;44;63;96;63;63;41;63;59;64;79;63;54;25;37;67
04/01/2011;47;44;30;53;43;44;63;96;63;63;41;63;59;64;79;63;54;25;37;67
05/01/2011;47;44;30;53;43;44;63;96;63;63;41;63;59;64;79;63;54;25;37;67
06/01/2011;47;44;30;53;43;44;63;96;63;63;41;63;59;64;79;63;54;25;37;67
07/01/2011;47;44;30;53;43;44;63;96;63;63;41;63;59;64;79;63;54;25;37;67
08/01/2011;47;44;30;53;43;44;63;96;63;63;41;63;59;64;79;63;54;25;37;67
09/01/2011;100;71;100;83;76;66;81;81;81;70;34;81;93;67;53;72;57;30;73;46
10/01/2011;100;71;100;83;76;66;81;81;81;70;34;81;93;67;53;72;57;30;73;46
11/01/2011;100;71;100;83;76;66;81;81;81;70;34;81;93;67;53;72;57;30;73;46
12/01/2011;100;71;100;83;76;66;81;81;81;70;34;81;93;67;53;72;57;30;73;46
13/01/2011;100;71;100;83;76;66;81;81;81;70;34;81;93;67;53;72;57;30;73;46
14/01/2011;100;71;100;83;76;66;81;81;81;70;34;81;93;67;53;72;57;30;73;46
15/01/2011;100;71;100;83;76;66;81;81;81;70;34;81;93;67;53;72;57;30;73;46
16/01/2011;38;48;40;53;43;51;63;62;63;72;31;63;52;69;76;54;74;26;57;58
17/01/2011;38;48;40;53;43;51;63;62;63;72;31;63;52;69;76;54;74;26;57;58
18/01/2011;38;48;40;53;43;51;63;62;63;72;31;63;52;69;76;54;74;26;57;58
19/01/2011;38;48;40;53;43;51;63;62;63;72;31;63;52;69;76;54;74;26;57;58
20/01/2011;38;48;40;53;43;51;63;62;63;72;31;63;52;69;76;54;74;26;57;58
21/01/2011;38;48;40;53;43;51;63;62;63;72;31;63;52;69;76;54;74;26;57;58
22/01/2011;38;48;40;53;43;51;63;62;63;72;31;63;52;69;76;54;74;26;57;58
23/01/2011;33;58;31;65;55;34;96;63;96;72;27;96;68;68;34;63;67;22;60;51
24/01/2011;33;58;31;65;55;34;96;63;96;72;27;96;68;68;34;63;67;22;60;51
25/01/2011;33;58;31;65;55;34;96;63;96;72;27;96;68;68;34;63;67;22;60;51
26/01/2011;33;58;31;65;55;34;96;63;96;72;27;96;68;68;34;63;67;22;60;51
27/01/2011;33;58;31;65;55;34;96;63;96;72;27;96;68;68;34;63;67;22;60;51
28/01/2011;33;58;31;65;55;34;96;63;96;72;27;96;68;68;34;63;67;22;60;51
29/01/2011;33;58;31;65;55;34;96;63;96;72;27;96;68;68;34;63;67;22;60;51
30/01/2011;39;68;50;53;100;67;72;94;72;81;25;72;61;62;72;94;62;24;50;88
31/01/2011;39;68;50;53;100;67;72;94;72;81;25;72;61;62;72;94;62;24;50;88
01/02/2011;39;68;50;53;100;67;72;94;72;81;25;72;61;62;72;94;62;24;50;88
02/02/2011;39;68;50;53;100;67;72;94;72;81;25;72;61;62;72;94;62;24;50;88
03/02/2011;39;68;50;53;100;67;72;94;72;81;25;72;61;62;72;94;62;24;50;88
04/02/2011;39;68;50;53;100;67;72;94;72;81;25;72;61;62;72;94;62;24;50;88
05/02/2011;39;68;50;53;100;67;72;94;72;81;25;72;61;62;72;94;62;24;50;88
06/02/2011;32;30;19;44;48;50;58;58;58;75;29;58;63;52;53;48;25;27;44;75
07/02/2011;32;30;19;44;48;50;58;58;58;75;29;58;63;52;53;48;25;27;44;75
08/02/2011;32;30;19;44;48;50;58;58;58;75;29;58;63;52;53;48;25;27;44;75
09/02/2011;32;30;19;44;48;50;58;58;58;75;29;58;63;52;53;48;25;27;44;75
10/02/2011;32;30;19;44;48;50;58;58;58;75;29;58;63;52;53;48;25;27;44;75
11/02/2011;32;30;19;44;48;50;58;58;58;75;29;58;63;52;53;48;25;27;44;75
12/02/2011;32;30;19;44;48;50;58;58;58;75;29;58;63;52;53;48;25;27;44;75
13/02/2011;27;35;23;45;40;40;57;37;57;82;25;57;74;58;54;53;32;31;39;53
14/02/2011;27;35;23;45;40;40;57;37;57;82;25;57;74;58;54;53;32;31;39;53
15/02/2011;27;35;23;45;40;40;57;37;57;82;25;57;74;58;54;53;32;31;39;53
16/02/2011;27;35;23;45;40;40;57;37;57;82;25;57;74;58;54;53;32;31;39;53
17/02/2011;27;35;23;45;40;40;57;37;57;82;25;57;74;58;54;53;32;31;39;53
18/02/2011;27;35;23;45;40;40;57;37;57;82;25;57;74;58;54;53;32;31;39;53
19/02/2011;27;35;23;45;40;40;57;37;57;82;25;57;74;58;54;53;32;31;39;53
20/02/2011;30;65;25;50;55;100;69;54;69;60;29;69;96;69;96;83;39;21;48;80
21/02/2011;30;65;25;50;55;100;69;54;69;60;29;69;96;69;96;83;39;21;48;80
22/02/2011;30;65;25;50;55;100;69;54;69;60;29;69;96;69;96;83;39;21;48;80
23/02/2011;30;65;25;50;55;100;69;54;69;60;29;69;96;69;96;83;39;21;48;80
24/02/2011;30;65;25;50;55;100;69;54;69;60;29;69;96;69;96;83;39;21;48;80
25/02/2011;30;65;25;50;55;100;69;54;69;60;29;69;96;69;96;83;39;21;48;80
26/02/2011;30;65;25;50;55;100;69;54;69;60;29;69;96;69;96;83;39;21;48;80
27/02/2011;29;40;35;52;51;52;49;57;49;68;29;49;95;67;67;59;51;33;52;41
28/02/2011;29;40;35;52;51;52;49;57;49;68;29;49;95;67;67;59;51;33;52;41
01/03/2011;29;40;35;52;51;52;49;57;49;68;29;49;95;67;67;59;51;33;52;41
02/03/2011;29;40;35;52;51;52;49;57;49;68;29;49;95;67;67;59;51;33;52;41
03/03/2011;29;40;35;52;51;52;49;57;49;68;29;49;95;67;67;59;51;33;52;41
04/03/2011;29;40;35;52;51;52;49;57;49;68;29;49;95;67;67;59;51;33;52;41
05/03/2011;29;40;35;52;51;52;49;57;49;68;29;49;95;67;67;59;51;33;52;41
06/03/2011;44;65;33;37;53;40;78;46;78;72;35;78;54;94;40;64;51;24;57;53
07/03/2011;44;65;33;37;53;40;78;46;78;72;35;78;54;94;40;64;51;24;57;53
08/03/2011;44;65;33;37;53;40;78;46;78;72;35;78;54;94;40;64;51;24;57;53
09/03/2011;44;65;33;37;53;40;78;46;78;72;35;78;54;94;40;64;51;24;57;53
10/03/2011;44;65;33;37;53;40;78;46;78;72;35;78;54;94;40;64;51;24;57;53
11/03/2011;44;65;33;37;53;40;78;46;78;72;35;78;54;94;40;64;51;24;57;53
12/03/2011;44;65;33;37;53;40;78;46;78;72;35;78;54;94;40;64;51;24;57;53
13/03/2011;26;38;22;47;44;42;70;40;70;64;31;70;62;48;46;68;50;26;67;47
14/03/2011;26;38;22;47;44;42;70;40;70;64;31;70;62;48;46;68;50;26;67;47
15/03/2011;26;38;22;47;44;42;70;40;70;64;31;70;62;48;46;68;50;26;67;47
16/03/2011;26;38;22;47;44;42;70;40;70;64;31;70;62;48;46;68;50;26;67;47
17/03/2011;26;38;22;47;44;42;70;40;70;64;31;70;62;48;46;68;50;26;67;47
18/03/2011;26;38;22;47;44;42;70;40;70;64;31;70;62;48;46;68;50;26;67;47
19/03/2011;26;38;22;47;44;42;70;40;70;64;31;70;62;48;46;68;50;26;67;47
20/03/2011;28;42;37;22;45;60;61;73;61;66;33;61;53;79;93;64;54;24;51;62
21/03/2011;28;42;37;22;45;60;61;73;61;66;33;61;53;79;93;64;54;24;51;62
22/03/2011;28;42;37;22;45;60;61;73;61;66;33;61;53;79;93;64;54;24;51;62
23/03/2011;28;42;37;22;45;60;61;73;61;66;33;61;53;79;93;64;54;24;51;62
24/03/2011;28;42;37;22;45;60;61;73;61;66;33;61;53;79;93;64;54;24;51;62
25/03/2011;28;42;37;22;45;60;61;73;61;66;33;61;53;79;93;64;54;24;51;62
26/03/2011;28;42;37;22;45;60;61;73;61;66;33;61;53;79;93;64;54;24;51;62
27/03/2011;28;54;23;34;34;77;59;57;59;68;27;59;97;76;43;67;40;19;77;37
28/03/2011;28;54;23;34;34;77;59;57;59;68;27;59;97;76;43;67;40;19;77;37
29/03/2011;28;54;23;34;34;77;59;57;59;68;27;59;97;76;43;67;40;19;77;37
30/03/2011;28;54;23;34;34;77;59;57;59;68;27;59;97;76;43;67;40;19;77;37
31/03/2011;28;54;23;34;34;77;59;57;59;68;27;59;97;76;43;67;40;19;77;37
01/04/2011;28;54;23;34;34;77;59;57;59;68;27;59;97;76;43;67;40;19;77;37
02/04/2011;28;54;23;34;34;77;59;57;59;68;27;59;97;76;43;67;40;19;77;37
03/04/2011;26;27;35;39;46;56;52;46;52;62;34;52;70;58;50;56;37;26;58;31
04/04/2011;26;27;35;39;46;56;52;46;52;62;34;52;70;58;50;56;37;26;58;31
05/04/2011;26;27;35;39;46;56;52;46;52;62;34;52;70;58;50;56;37;26;58;31
06/04/2011;26;27;35;39;46;56;52;46;52;62;34;52;70;58;50;56;37;26;58;31
07/04/2011;26;27;35;39;46;56;52;46;52;62;34;52;70;58;50;56;37;26;58;31
08/04/2011;26;27;35;39;46;56;52;46;52;62;34;52;70;58;50;56;37;26;58;31
09/04/2011;26;27;35;39;46;56;52;46;52;62;34;52;70;58;50;56;37;26;58;31
10/04/2011;27;63;43;53;45;37;60;36;60;66;30;60;61;50;33;53;42;23;86;86
11/04/2011;27;63;43;53;45;37;60;36;60;66;30;60;61;50;33;53;42;23;86;86
12/04/2011;27;63;43;53;45;37;60;36;60;66;30;60;61;50;33;53;42;23;86;86
13/04/2011;27;63;43;53;45;37;60;36;60;66;30;60;61;50;33;53;42;23;86;86
14/04/2011;27;63;43;53;45;37;60;36;60;66;30;60;61;50;33;53;42;23;86;86
15/04/2011;27;63;43;53;45;37;60;36;60;66;30;60;61;50;33;53;42;23;86;86
16/04/2011;27;63;43;53;45;37;60;36;60;66;30;60;61;50;33;53;42;23;86;86
17/04/2011;27;53;27;42;53;57;68;62;68;76;40;68;51;50;41;78;48;15;61;42
18/04/2011;27;53;27;42;53;57;68;62;68;76;40;68;51;50;41;78;48;15;61;42
19/04/2011;27;53;27;42;53;57;68;62;68;76;40;68;51;50;41;78;48;15;61;42
20/04/2011;27;53;27;42;53;57;68;62;68;76;40;68;51;50;41;78;48;15;61;42
21/04/2011;27;53;27;42;53;57;68;62;68;76;40;68;51;50;41;78;48;15;61;42
22/04/2011;27;53;27;42;53;57;68;62;68;76;40;68;51;50;41;78;48;15;61;42
23/04/2011;27;53;27;42;53;57;68;62;68;76;40;68;51;50;41;78;48;15;61;42
24/04/2011;26;52;32;37;48;67;78;57;78;63;35;78;57;55;64;75;49;20;62;50
25/04/2011;26;52;32;37;48;67;78;57;78;63;35;78;57;55;64;75;49;20;62;50
26/04/2011;26;52;32;37;48;67;78;57;78;63;35;78;57;55;64;75;49;20;62;50
27/04/2011;26;52;32;37;48;67;78;57;78;63;35;78;57;55;64;75;49;20;62;50
28/04/2011;26;52;32;37;48;67;78;57;78;63;35;78;57;55;64;75;49;20;62;50
29/04/2011;26;52;32;37;48;67;78;57;78;63;35;78;57;55;64;75;49;20;62;50
30/04/2011;26;52;32;37;48;67;78;57;78;63;35;78;57;55;64;75;49;20;62;50
01/05/2011;24;40;21;44;40;47;55;59;55;44;30;55;41;52;33;52;43;25;50;62
02/05/2011;24;40;21;44;40;47;55;59;55;44;30;55;41;52;33;52;43;25;50;62
03/05/2011;24;40;21;44;40;47;55;59;55;44;30;55;41;52;33;52;43;25;50;62
04/05/2011;24;40;21;44;40;47;55;59;55;44;30;55;41;52;33;52;43;25;50;62
05/05/2011;24;40;21;44;40;47;55;59;55;44;30;55;41;52;33;52;43;25;50;62
06/05/2011;24;40;21;44;40;47;55;59;55;44;30;55;41;52;33;52;43;25;50;62
