,iata,municipality,latitude_deg,longitude_deg,state,pop2010
0,LAX,Los Angeles,33.94250107,-118.4079971,CA,3795370.0
1,JFK,New York City,40.63980103,-73.77890015,NY,8190360.0
2,ORD,Chicago,41.97859955,-87.90480042,IL,2697530.0
3,ATL,Atlanta,33.63669967651367,-84.4281005859375,GA,429193.0
4,SFO,San Francisco,37.61899948120117,-122.375,CA,805550.0
5,EWR,Newark,40.692501068115234,-74.168701171875,NJ,277158.0
6,LAS,Las Vegas,36.08010101,-115.1520004,NV,584606.0
7,DFW,Dallas-Fort Worth,32.89680099487305,-97.03800201416016,TX,1200370.0
8,MCO,Orlando,28.429399490356445,-81.30899810791016,FL,239308.0
9,DEN,Denver,39.861698150635,-104.672996521,CO,603354.0
10,MIA,Miami,25.79319953918457,-80.29060363769531,FL,400841.0
11,LGA,New York City,40.77719879,-73.87259674,NY,8190360.0
12,IAD,Washington,38.94449997,-77.45580292,DC,605085.0
13,SEA,Seattle,47.44900131225586,-122.30899810791016,WA,610639.0
14,PHX,Phoenix,33.43429946899414,-112.01200103759766,AZ,1449300.0
15,BOS,Boston,42.36429977,-71.00520325,MA,621074.0
16,PHL,Philadelphia,39.87189865112305,-75.24109649658203,PA,1528290.0
17,IAH,Houston,29.984399795532227,-95.34140014648438,TX,2098450.0
18,CLT,Charlotte,35.2140007019043,-80.94309997558594,NC,738534.0
19,DCA,Washington,38.8521,-77.037697,DC,605085.0
20,DTW,Detroit,42.212398529052734,-83.35340118408203,MI,711120.0
21,MSP,Minneapolis,44.881999969499994,-93.22180175780001,MN,383067.0
22,SAN,San Diego,32.7336006165,-117.190002441,CA,1305970.0
23,FLL,Fort Lauderdale,26.072599411010742,-80.15270233154297,FL,166138.0
24,SLC,Salt Lake City,40.78839874267578,-111.97799682617188,T,186571.0
25,STL,St Louis,38.748697,-90.370003,MO,
26,MDW,Chicago,41.7859992980957,-87.75240325927734,IL,2697530.0
27,HNL,Honolulu,21.32062,-157.924228,HI,339143.0
28,BWI,Baltimore,39.17539978,-76.66829681,MD,621005.0
29,PDX,Portland,45.58869934,-122.5979996,OR,585436.0
30,TPA,Tampa,27.975500106811523,-82.533203125,FL,337062.0
31,CVG,Cincinnati,39.0488014221,-84.6678009033,KY,296837.0
32,MSY,New Orleans,29.99340057373047,-90.25800323486328,LA,347770.0
33,OAK,Oakland,37.721298,-122.221001,CA,391449.0
34,PIT,Pittsburgh,40.49150085,-80.23290253,PA,305410.0
35,AUS,Austin,30.194499969482422,-97.6698989868164,TX,806423.0
36,SJC,San Jose,37.362598,-121.929001,CA,954492.0
37,RDU,Raleigh/Durham,35.877601623535156,-78.7874984741211,NC,
38,BNA,Nashville,36.1245002746582,-86.6781997680664,TN,604587.0
39,MEM,Memphis,35.04240036010742,-89.97669982910156,TN,652309.0
40,SAT,San Antonio,29.533700942993164,-98.46980285644531,TX,1332880.0
41,SNA,Santa Ana,33.67570114,-117.8679962,CA,325340.0
42,MCI,Kansas City,39.2976,-94.713898,MO,460737.0
44,HOU,Houston,29.64539909,-95.27890015,TX,2098450.0
45,CLE,Cleveland,41.4117012024,-81.8498001099,OH,395890.0
46,IND,Indianapolis,39.7173,-86.294403,IN,821555.0
47,DAL,Dallas,32.847099,-96.851799,TX,
48,ABQ,Albuquerque,35.040199,-106.609001,NM,546806.0
49,MKE,Milwaukee,42.947200775146484,-87.89659881591797,WI,594881.0
50,CMH,Columbus,39.99800109863281,-82.89189910888672,OH,790935.0
52,TUS,Tucson,32.1161003112793,-110.94100189208984,AZ,527167.0
53,BUF,Buffalo,42.94049835,-78.73220062,NY,261301.0
54,ANC,Anchorage,61.174400329589844,-149.99600219726562,AK,293310.0
55,JAX,Jacksonville,30.49410057067871,-81.68789672851562,FL,823123.0
56,BDL,Hartford,41.9388999939,-72.68319702149999,CT,
57,PBI,West Palm Beach,26.68320083618164,-80.09559631347656,FL,
58,ELP,El Paso,31.80719948,-106.3779984,TX,650708.0
59,OKC,Oklahoma City,35.39310073852539,-97.60070037841797,OK,582285.0
60,HOG,Kahului,20.8986,-156.429993,HI,
61,SMF,Sacramento,38.69540023803711,-121.59100341796875,CA,467302.0
62,ORF,Norfolk,36.89459991455078,-76.20120239257812,VA,242998.0
63,RNO,Reno,39.49909973144531,-119.76799774169922,NV,225750.0
64,BUR,Burbank,34.20069885253906,-118.35900115966797,CA,
