AirPort;year;month;LoadFactorDomestic;PassengersDomestic
PHL;2011;1;76.03;933477
PHL;2011;2;76.61;878945
PHL;2011;3;80.22;1135612
PHL;2011;4;81.38;1087043
PHL;2011;5;83.45;1144493
PHL;2011;6;84.94;1160749
PHL;2011;7;86.47;1191778
PHL;2011;8;87.36;1154385
PHL;2011;9;79.91;1040564
PHL;2011;10;82.24;1109540
PHL;2011;11;82.93;1067006
PHL;2011;12;79.83;1059856
PHL;2012;1;75.14;962301
PHL;2012;2;77.21;927574
PHL;2012;3;81.8;1092524
PHL;2012;4;79.52;1050078
PHL;2012;5;80.05;1097404
PHL;2012;6;83.15;1117429
PHL;2012;7;84.52;1132311
PHL;2012;8;85.89;1170296
PHL;2012;9;78.93;1001650
PHL;2012;10;84.98;1050837
PHL;2012;11;83.23;1070113
PHL;2012;12;81.43;1025705
PHL;2013;1;77.15;966537
PHL;2013;2;79.95;945271
PHL;2013;3;84.28;1117379
PHL;2013;4;80.61;1042395
PHL;2013;5;84.36;1105044
PHL;2013;6;87.16;1122843
PHL;2013;7;86.85;1148232
PHL;2013;8;86.73;1166352
PHL;2013;9;80.55;999226
PHL;2013;10;83.56;1095178
PHL;2013;11;78.82;999257
PHL;2013;12;85.88;1045785
ORD;2011.0;1;74.17;1776465
ORD;2011.0;2;77.22;1710867
ORD;2011.0;3;83.19;2344944
ORD;2011.0;4;80.78;2161200
ORD;2011.0;5;84.98;2329934
ORD;2011.0;6;86.77;2436170
ORD;2011.0;7;87.63;2525583
ORD;2011.0;8;85.36;2467849
ORD;2011.0;9;84.2;2274962
ORD;2011.0;10;86.55;2417073
ORD;2011.0;11;84.37;2142822
ORD;2011.0;12;82.98;2102690
ORD;2012.0;1;76.93;1870122
ORD;2012.0;2;79.27;1912781
ORD;2012.0;3;84.96;2348842
ORD;2012.0;4;81.96;2231742
ORD;2012.0;5;85.4;2355823
ORD;2012.0;6;88.14;2480870
ORD;2012.0;7;88.33;2498266
ORD;2012.0;8;86.59;2489434
ORD;2012.0;9;83.74;2221834
ORD;2012.0;10;86.7;2368804
ORD;2012.0;11;84.12;2153216
ORD;2012.0;12;82.96;2076496
ORD;2013.0;1;78.74;1928466
ORD;2013.0;2;81.22;1824565
ORD;2013.0;3;85.4;2257564
ORD;2013.0;4;81.56;2106565
ORD;2013.0;5;85.44;2366564
ORD;2013.0;6;87.95;2431750
ORD;2013.0;7;87.39;2461924
ORD;2013.0;8;85.78;2454754
ORD;2013.0;9;83.33;2241606
ORD;2013.0;10;85.36;2464561
ORD;2013.0;11;81.68;2179415
ORD;2013.0;12;87.17;2232916
PHX;2011;1;78.99;1474163
PHX;2011;2;79.49;1349772
PHX;2011;3;85.73;1733712
PHX;2011;4;83.57;1591362
PHX;2011;5;86.7;1662850
PHX;2011;6;88.91;1659325
PHX;2011;7;87.12;1654083
PHX;2011;8;84.16;1544731
PHX;2011;9;81.82;1408874
PHX;2011;10;83.63;1521054
PHX;2011;11;85.13;1512090
PHX;2011;12;81.47;1518960
PHX;2012;1;79.69;1455044
PHX;2012;2;80.83;1419277
PHX;2012;3;86.49;1727195
PHX;2012;4;85.46;1576916
PHX;2012;5;85.79;1607267
PHX;2012;6;88.28;1616662
PHX;2012;7;86.1;1629424
PHX;2012;8;86.08;1551620
PHX;2012;9;81.13;1344179
PHX;2012;10;85.94;1528176
PHX;2012;11;86.15;1500696
PHX;2012;12;83.23;1482623
PHX;2013;1;80.82;1443772
PHX;2013;2;83.35;1449984
PHX;2013;3;86.33;1724051
PHX;2013;4;86.93;1575893
PHX;2013;5;87.65;1617829
PHX;2013;6;88.62;1609958
PHX;2013;7;86.39;1577671
PHX;2013;8;85.1;1513481
PHX;2013;9;81.27;1360063
PHX;2013;10;83.76;1500742
PHX;2013;11;81.94;1448311
PHX;2013;12;86.68;1588321
MIA;2011;1;83.51;80159
MIA;2011;2;79.1;693687
MIA;2011;3;85.18;820206
MIA;2011;4;84.75;783801
MIA;2011;5;85.98;794527
MIA;2011;6;83.38;757246
MIA;2011;7;85.48;81608
MIA;2011;8;85.75;773641
MIA;2011;9;76.09;646651
MIA;2011;10;81.84;717371
MIA;2011;11;83.98;751395
MIA;2011;12;77.84;777688
MIA;2012;1;85.39;859317
MIA;2012;2;80.04;754892
MIA;2012;3;84.96;867495
MIA;2012;4;89.85;849458
MIA;2012;5;85.02;798428
MIA;2012;6;86.63;782753
MIA;2012;7;87.45;808468
MIA;2012;8;86.98;761745
MIA;2012;9;77.4;624991
MIA;2012;10;81.9;672441
MIA;2012;11;82.28;718311
MIA;2012;12;78.88;755257
MIA;2013;1;85.44;834083
MIA;2013;2;82.35;723679
MIA;2013;3;87.27;86747
MIA;2013;4;88.81;800625
MIA;2013;5;85.56;785385
MIA;2013;6;86.47;766159
MIA;2013;7;87.45;796785
MIA;2013;8;86.92;792226
MIA;2013;9;78.12;647545
MIA;2013;10;80.38;706172
MIA;2013;11;81.07;712697
MIA;2013;12;80.61;794488
LGA;2011;1;67.32;777171
LGA;2011;2;68.56;747344
LGA;2011;3;71.8;945079
LGA;2011;4;77.52;970037
LGA;2011;5;78.35;1023997
LGA;2011;6;79.94;1029592
LGA;2011;7;83.55;1067331
LGA;2011;8;85.03;1045938
LGA;2011;9;73.7;921129
LGA;2011;10;78.48;993143
LGA;2011;11;79.12;963731
LGA;2011;12;78.54;960583
LGA;2012;1;67.12;809313
LGA;2012;2;67.42;794891
LGA;2012;3;74.9;965765
LGA;2012;4;77.52;1036629
LGA;2012;5;78.38;1061869
LGA;2012;6;80.13;1056572
LGA;2012;7;84.96;1125493
LGA;2012;8;84.99;1195265
LGA;2012;9;71.83;979647
LGA;2012;10;78.64;1031281
LGA;2012;11;73.45;956994
LGA;2012;12;80.76;1054724
LGA;2013;1;71.03;91697
LGA;2013;2;72.47;847033
LGA;2013;3;80.47;1093938
LGA;2013;4;75.18;1038782
LGA;2013;5;79.0;1095281
LGA;2013;6;82.25;1091153
LGA;2013;7;85.68;1139522
LGA;2013;8;84.13;1172878
LGA;2013;9;73.27;95727
LGA;2013;10;77.94;1088324
LGA;2013;11;75.59;980035
LGA;2013;12;84.67;1096456
IAH;2011;1;76.69;1141109
IAH;2011;2;76.56;1005238
IAH;2011;3;79.87;1296916
IAH;2011;4;81.18;1223696
IAH;2011;5;84.68;1337383
IAH;2011;6;86.4;1398560
IAH;2011;7;87.59;1464293
IAH;2011;8;83.59;1338752
IAH;2011;9;80.52;1154299
IAH;2011;10;80.92;1222640
IAH;2011;11;81.72;1218896
IAH;2011;12;80.21;1263638
IAH;2012;1;77.59;1130192
IAH;2012;2;76.7;1084285
IAH;2012;3;82.17;1275278
IAH;2012;4;85.05;1248748
IAH;2012;5;86.68;1309413
IAH;2012;6;87.16;1349918
IAH;2012;7;87.33;1359565
IAH;2012;8;86.13;1313780
IAH;2012;9;79.12;1108994
IAH;2012;10;82.46;1207398
IAH;2012;11;82.64;1188212
IAH;2012;12;81.79;1195622
IAH;2013;1;79.47;1125950
IAH;2013;2;80.38;1059035
IAH;2013;3;82.59;1261911
IAH;2013;4;83.12;1175697
IAH;2013;5;84.3;1270301
IAH;2013;6;86.42;1326898
IAH;2013;7;85.39;1315762
IAH;2013;8;84.29;1269081
IAH;2013;9;78.23;1105864
IAH;2013;10;80.62;1207595
IAH;2013;11;81.07;1163500
IAH;2013;12;87.17;1276646
LAX;2011;1;78.94;1609702
LAX;2011;2;79.5;1474587
LAX;2011;3;85.19;1819697
LAX;2011;4;86.0;1820448
LAX;2011;5;86.5;1928013
LAX;2011;6;89.95;2080569
LAX;2011;7;90.23;2195514
LAX;2011;8;90.32;2164073
LAX;2011;9;85.03;1806812
LAX;2011;10;85.31;1871127
LAX;2011;11;86.01;1804587
LAX;2011;12;85.01;1864639
LAX;2012;1;82.73;1711548
LAX;2012;2;81.73;1621215
LAX;2012;3;87.92;1949639
LAX;2012;4;86.94;1892632
LAX;2012;5;86.37;1949002
LAX;2012;6;89.79;2102307
LAX;2012;7;88.82;2216144
LAX;2012;8;90.43;2223302
LAX;2012;9;82.49;1807584
LAX;2012;10;84.94;1872910
LAX;2012;11;85.27;1821117
LAX;2012;12;84.77;1852211
LAX;2013;1;82.33;1714369
LAX;2013;2;82.59;1583359
LAX;2013;3;89.07;1976624
LAX;2013;4;87.53;1928911
LAX;2013;5;87.61;2051053
LAX;2013;6;90.91;2234306
LAX;2013;7;89.09;2295509
LAX;2013;8;89.98;2266161
LAX;2013;9;82.14;1863099
LAX;2013;10;83.63;1981708
LAX;2013;11;81.15;1839776
LAX;2013;12;86.64;2083744
MCO;2011;1;82.74;1278271
MCO;2011;2;83.12;1176605
MCO;2011;3;87.93;1513751
MCO;2011;4;84.6;1392844
MCO;2011;5;88.27;1386114
MCO;2011;6;84.57;1318063
MCO;2011;7;87.7;1429027
MCO;2011;8;84.71;1267673
MCO;2011;9;79.99;1043585
MCO;2011;10;85.92;1232841
MCO;2011;11;86.92;1242164
MCO;2011;12;81.55;1256245
MCO;2012;1;84.06;1248267
MCO;2012;2;83.22;1220839
MCO;2012;3;86.99;1470741
MCO;2012;4;88.58;1412747
MCO;2012;5;85.85;1331485
MCO;2012;6;86.7;1319435
MCO;2012;7;87.05;1369082
MCO;2012;8;87.23;1267087
MCO;2012;9;79.07;1003314
MCO;2012;10;86.4;1170961
MCO;2012;11;84.43;1218039
MCO;2012;12;81.62;1235144
MCO;2013;1;84.66;1231937
MCO;2013;2;84.1;1157669
MCO;2013;3;87.02;1459884
MCO;2013;4;86.65;1352095
MCO;2013;5;86.17;1309954
MCO;2013;6;88.18;1314938
MCO;2013;7;85.9;1312466
MCO;2013;8;87.68;1242508
MCO;2013;9;81.01;974698
MCO;2013;10;84.44;1147492
MCO;2013;11;82.6;1174545
MCO;2013;12;83.83;1261007
CLT;2011;1;77.09;1314511
CLT;2011;2;78.06;1275944
CLT;2011;3;81.68;1527975
CLT;2011;4;80.98;1465186
CLT;2011;5;84.71;1579461
CLT;2011;6;85.96;1548571
CLT;2011;7;85.8;1570513
CLT;2011;8;83.99;1495616
CLT;2011;9;82.75;1392044
CLT;2011;10;83.64;1482965
CLT;2011;11;84.2;1473365
CLT;2011;12;82.99;1478320
CLT;2012;1;80.16;1427153
CLT;2012;2;80.18;1389749
CLT;2012;3;83.17;1589213
CLT;2012;4;80.76;1532792
CLT;2012;5;83.57;1621369
CLT;2012;6;86.02;1580572
CLT;2012;7;86.21;1598145
CLT;2012;8;87.13;1641396
CLT;2012;9;83.32;1470192
CLT;2012;10;85.54;1591620
CLT;2012;11;84.97;1584498
CLT;2012;12;83.88;1540837
CLT;2013;1;81.51;1496250
CLT;2013;2;83.61;1491880
CLT;2013;3;85.47;1672432
CLT;2013;4;84.82;1617407
CLT;2013;5;86.94;1731871
CLT;2013;6;87.5;1670010
CLT;2013;7;86.4;1699291
CLT;2013;8;86.58;1721748
CLT;2013;9;84.13;1721043
CLT;2013;10;84.32;1699468
CLT;2013;11;82.09;1585106
CLT;2013;12;88.04;1719915
EWR;2011;1;74.74;729563
EWR;2011;2;76.28;703522
EWR;2011;3;78.09;915823
EWR;2011;4;81.46;95656
EWR;2011;5;82.52;963138
EWR;2011;6;85.02;1021397
EWR;2011;7;88.82;1102157
EWR;2011;8;88.45;1017350
EWR;2011;9;78.78;851579
EWR;2011;10;80.99;931342
EWR;2011;11;79.75;942301
EWR;2011;12;79.38;941667
EWR;2012;1;74.03;817666
EWR;2012;2;74.15;798975
EWR;2012;3;80.77;999231
EWR;2012;4;81.85;1015324
EWR;2012;5;82.35;997347
EWR;2012;6;85.16;1056384
EWR;2012;7;88.98;1095923
EWR;2012;8;87.33;1088142
EWR;2012;9;76.28;852045
EWR;2012;10;83.77;890539
EWR;2012;11;78.14;896683
EWR;2012;12;80.79;938823
EWR;2013;1;77.2;868374
EWR;2013;2;78.5;796682
EWR;2013;3;83.58;1015490
EWR;2013;4;78.8;981243
EWR;2013;5;82.84;1025239
EWR;2013;6;86.46;1047664
EWR;2013;7;89.53;1124033
EWR;2013;8;87.48;1111497
EWR;2013;9;78.22;9137
EWR;2013;10;82.08;1023206
EWR;2013;11;76.87;946834
EWR;2013;12;86.55;1049635
BOS;2011;1;74.17;788143
BOS;2011;2;77.9;806685
BOS;2011;3;79.94;1013276
BOS;2011;4;81.21;1037339
BOS;2011;5;83.99;1077739
BOS;2011;6;84.7;1101076
BOS;2011;7;87.59;1173957
BOS;2011;8;90.12;1159265
BOS;2011;9;81.1;992464
BOS;2011;10;86.83;1093102
BOS;2011;11;83.02;992644
BOS;2011;12;81.12;94134
BOS;2012;1;74.63;828007
BOS;2012;2;79.04;863957
BOS;2012;3;82.64;1027666
BOS;2012;4;84.93;1065672
BOS;2012;5;85.29;1082526
BOS;2012;6;87.0;1095621
BOS;2012;7;88.59;1147085
BOS;2012;8;89.87;1184085
BOS;2012;9;80.72;967462
BOS;2012;10;89.26;1048347
BOS;2012;11;84.64;1006294
BOS;2012;12;83.12;937869
BOS;2013;1;78.74;851838
BOS;2013;2;85.05;839888
BOS;2013;3;84.39;1025387
BOS;2013;4;83.11;1069384
BOS;2013;5;83.73;1113009
BOS;2013;6;85.45;1151250
BOS;2013;7;87.74;1226855
BOS;2013;8;87.29;1242467
BOS;2013;9;81.08;1018561
BOS;2013;10;86.47;1143898
BOS;2013;11;79.91;998101
BOS;2013;12;86.64;1033100
LAS;2011;1;84.46;1435181
LAS;2011;2;83.31;1285146
LAS;2011;3;87.52;1581419
LAS;2011;4;87.26;1523448
LAS;2011;5;89.04;1643972
LAS;2011;6;88.32;1591291
LAS;2011;7;87.33;1631603
LAS;2011;8;88.75;1622460
LAS;2011;9;86.15;1550101
LAS;2011;10;89.09;1668399
LAS;2011;11;86.73;1479988
LAS;2011;12;81.72;1398145
LAS;2012;1;84.54;1426915
LAS;2012;2;84.05;1360644
LAS;2012;3;87.34;1604253
LAS;2012;4;86.73;1572902
LAS;2012;5;87.87;1616608
LAS;2012;6;88.88;1596017
LAS;2012;7;87.54;1627857
LAS;2012;8;88.18;1596097
LAS;2012;9;84.68;1500764
LAS;2012;10;87.59;1629585
LAS;2012;11;85.77;1461350
LAS;2012;12;82.41;1388103
LAS;2013;1;83.36;1388479
LAS;2013;2;84.36;1303008
LAS;2013;3;88.89;1612579
LAS;2013;4;87.8;1565466
LAS;2013;5;86.9;1640524
LAS;2013;6;89.24;1630618
LAS;2013;7;87.71;1614767
LAS;2013;8;86.93;1577227
LAS;2013;9;84.74;1525587
LAS;2013;10;86.35;1649844
LAS;2013;11;84.04;1460896
LAS;2013;12;82.96;1433515
SFO;2011;1;78.25;1077602
SFO;2011;2;79.83;1012511
SFO;2011;3;84.76;1229237
SFO;2011;4;86.21;1239366
SFO;2011;5;87.4;1347699
SFO;2011;6;90.8;1452955
SFO;2011;7;89.13;1485948
SFO;2011;8;88.85;1472134
SFO;2011;9;87.04;1368075
SFO;2011;10;86.48;1385693
SFO;2011;11;86.05;1309092
SFO;2011;12;84.25;1333805
SFO;2012;1;79.75;1183540
SFO;2012;2;80.23;1148012
SFO;2012;3;86.61;1343485
SFO;2012;4;85.21;1353705
SFO;2012;5;85.38;1417363
SFO;2012;6;88.91;1549090
SFO;2012;7;86.53;1580251
SFO;2012;8;89.14;1634071
SFO;2012;9;85.16;1398872
SFO;2012;10;87.22;1452490
SFO;2012;11;85.14;1345102
SFO;2012;12;84.17;1331370
SFO;2013;1;79.62;1174537
SFO;2013;2;82.48;1132204
SFO;2013;3;88.2;1387834
SFO;2013;4;87.11;1370595
SFO;2013;5;87.28;1469665
SFO;2013;6;90.19;1565048
SFO;2013;7;86.66;1527386
SFO;2013;8;88.46;1621479
SFO;2013;9;84.58;1408570
SFO;2013;10;85.18;1479370
SFO;2013;11;81.8;1355951
SFO;2013;12;86.86;1471885
SEA;2011;1;80.3;990835
SEA;2011;2;81.67;928579
SEA;2011;3;88.62;1174099
SEA;2011;4;84.32;1100898
SEA;2011;5;84.91;1208753
SEA;2011;6;88.33;1375375
SEA;2011;7;89.62;1472834
SEA;2011;8;91.98;1500128
SEA;2011;9;88.45;1259634
SEA;2011;10;83.49;1153751
SEA;2011;11;86.97;1129912
SEA;2011;12;87.74;1194183
SEA;2012;1;83.71;982707
SEA;2012;2;84.79;983699
SEA;2012;3;90.19;1180559
SEA;2012;4;86.49;1126168
SEA;2012;5;85.47;1203543
SEA;2012;6;89.52;1388964
SEA;2012;7;90.41;1487415
SEA;2012;8;92.8;1500333
SEA;2012;9;87.42;1236922
SEA;2012;10;86.63;1155693
SEA;2012;11;87.76;1121010
SEA;2012;12;88.34;1170707
SEA;2013;1;84.48;1024073
SEA;2013;2;86.45;983458
SEA;2013;3;88.64;1192794
SEA;2013;4;85.3;1137687
SEA;2013;5;84.98;1255849
SEA;2013;6;88.65;1433511
SEA;2013;7;88.69;1549936
SEA;2013;8;90.61;1562472
SEA;2013;9;86.16;1270394
SEA;2013;10;85.21;1192701
SEA;2013;11;82.86;1093111
SEA;2013;12;90.61;1253570
JFK;2011;1;79.12;860442
JFK;2011;2;78.44;806026
JFK;2011;3;79.51;1009912
JFK;2011;4;82.56;997188
JFK;2011;5;84.35;1027829
JFK;2011;6;85.22;1041455
JFK;2011;7;90.12;1180319
JFK;2011;8;90.41;1084316
JFK;2011;9;80.57;935908
JFK;2011;10;85.6;1003955
JFK;2011;11;84.56;961813
JFK;2011;12;83.26;97046
JFK;2012;1;79.43;900373
JFK;2012;2;79.77;855643
JFK;2012;3;84.57;1052672
JFK;2012;4;85.9;1009278
JFK;2012;5;85.17;1018812
JFK;2012;6;86.33;1064923
JFK;2012;7;89.99;1167626
JFK;2012;8;89.72;1158267
JFK;2012;9;80.99;94599
JFK;2012;10;87.75;964615
JFK;2012;11;82.16;940325
JFK;2012;12;85.29;1010049
JFK;2013;1;81.82;937083
JFK;2013;2;81.57;823324
JFK;2013;3;86.66;1046602
JFK;2013;4;81.71;943975
JFK;2013;5;85.34;1016442
JFK;2013;6;87.12;1046564
JFK;2013;7;90.06;1151275
JFK;2013;8;87.62;1136472
JFK;2013;9;80.44;920954
