,Date,Airport,Total,Flights,Booths,Mean per flight
0,2011-01-01,,,,,
1,2011-01-02,,,,,
2,2011-01-03,,,,,
3,2011-01-04,,,,,
4,2011-01-05,,,,,
5,2011-01-06,,,,,
6,2011-01-07,,,,,
7,2011-01-08,,,,,
8,2011-01-09,,,,,
9,2011-01-10,,,,,
10,2011-01-11,,,,,
11,2011-01-12,,,,,
12,2011-01-13,,,,,
13,2011-01-14,,,,,
14,2011-01-15,,,,,
15,2011-01-16,,,,,
16,2011-01-17,,,,,
17,2011-01-18,,,,,
18,2011-01-19,,,,,
19,2011-01-20,,,,,
20,2011-01-21,,,,,
21,2011-01-22,,,,,
22,2011-01-23,,,,,
23,2011-01-24,,,,,
24,2011-01-25,,,,,
25,2011-01-26,,,,,
26,2011-01-27,,,,,
27,2011-01-28,,,,,
28,2011-01-29,,,,,
29,2011-01-30,,,,,
30,2011-01-31,,,,,
31,2011-02-01,,,,,
32,2011-02-02,,,,,
33,2011-02-03,,,,,
34,2011-02-04,,,,,
35,2011-02-05,,,,,
36,2011-02-06,,,,,
37,2011-02-07,,,,,
38,2011-02-08,,,,,
39,2011-02-09,,,,,
40,2011-02-10,,,,,
41,2011-02-11,,,,,
42,2011-02-12,,,,,
43,2011-02-13,,,,,
44,2011-02-14,,,,,
45,2011-02-15,,,,,
46,2011-02-16,,,,,
47,2011-02-17,,,,,
48,2011-02-18,,,,,
49,2011-02-19,,,,,
50,2011-02-20,,,,,
51,2011-02-21,,,,,
52,2011-02-22,,,,,
53,2011-02-23,,,,,
54,2011-02-24,,,,,
55,2011-02-25,,,,,
56,2011-02-26,,,,,
57,2011-02-27,,,,,
58,2011-02-28,,,,,
59,2011-03-01,,,,,
60,2011-03-02,,,,,
61,2011-03-03,,,,,
62,2011-03-04,,,,,
63,2011-03-05,,,,,
64,2011-03-06,,,,,
65,2011-03-07,,,,,
66,2011-03-08,,,,,
67,2011-03-09,,,,,
68,2011-03-10,,,,,
69,2011-03-11,,,,,
70,2011-03-12,,,,,
71,2011-03-13,,,,,
72,2011-03-14,,,,,
73,2011-03-15,,,,,
74,2011-03-16,,,,,
75,2011-03-17,,,,,
76,2011-03-18,,,,,
77,2011-03-19,,,,,
78,2011-03-20,,,,,
79,2011-03-21,,,,,
80,2011-03-22,,,,,
81,2011-03-23,,,,,
82,2011-03-24,,,,,
83,2011-03-25,,,,,
84,2011-03-26,,,,,
85,2011-03-27,,,,,
86,2011-03-28,,,,,
87,2011-03-29,,,,,
88,2011-03-30,,,,,
89,2011-03-31,,,,,
90,2011-04-01,,,,,
91,2011-04-02,,,,,
92,2011-04-03,,,,,
93,2011-04-04,,,,,
94,2011-04-05,,,,,
95,2011-04-06,,,,,
96,2011-04-07,,,,,
97,2011-04-08,,,,,
98,2011-04-09,,,,,
99,2011-04-10,,,,,
100,2011-04-11,,,,,
101,2011-04-12,,,,,
102,2011-04-13,,,,,
103,2011-04-14,,,,,
104,2011-04-15,,,,,
105,2011-04-16,,,,,
106,2011-04-17,,,,,
107,2011-04-18,,,,,
108,2011-04-19,,,,,
109,2011-04-20,,,,,
110,2011-04-21,,,,,
111,2011-04-22,,,,,
112,2011-04-23,,,,,
113,2011-04-24,,,,,
114,2011-04-25,,,,,
115,2011-04-26,,,,,
116,2011-04-27,,,,,
117,2011-04-28,,,,,
118,2011-04-29,,,,,
119,2011-04-30,,,,,
120,2011-05-01,,,,,
121,2011-05-02,,,,,
122,2011-05-03,,,,,
123,2011-05-04,,,,,
124,2011-05-05,,,,,
125,2011-05-06,,,,,
