,DateOfDeparture,year,month,day,weekday,week,n_days,UnemploymentRate,State,state_departure,GDP_per_cap,holidays
0,2011-09-01,2011,9,1,3,35,15218,9.8,Alabama,AL,35913.0,False
1,2011-09-01,2011,9,1,3,35,15218,7.6,Alaska,AK,69564.0,False
2,2011-09-01,2011,9,1,3,35,15218,9.1,Arizona,AZ,37935.0,False
3,2011-09-01,2011,9,1,3,35,15218,8.3,Arkansas,AR,34671.0,False
4,2011-09-01,2011,9,1,3,35,15218,11.9,California,CA,51871.0,False
5,2011-09-01,2011,9,1,3,35,15218,8.3,Colorado,CO,49254.0,False
6,2011-09-01,2011,9,1,3,35,15218,8.9,Connecticut,CT,64906.0,False
7,2011-09-01,2011,9,1,3,35,15218,8.1,Delaware,DE,62837.0,False
8,2011-09-01,2011,9,1,3,35,15218,11.1,District of Columbia,DC,16803.0,False
9,2011-09-01,2011,9,1,3,35,15218,10.6,Florida,FL,38604.0,False
10,2011-09-01,2011,9,1,3,35,15218,10.3,Georgia,GA,42029.0,False
11,2011-09-01,2011,9,1,3,35,15218,6.4,Hawaii,HI,49418.0,False
12,2011-09-01,2011,9,1,3,35,15218,9.0,Idaho,ID,3462.0,False
13,2011-09-01,2011,9,1,3,35,15218,10.0,Illinois,IL,50304.0,False
14,2011-09-01,2011,9,1,3,35,15218,8.9,Indiana,IN,42996.0,False
15,2011-09-01,2011,9,1,3,35,15218,6.0,Iowa,IA,45884.0,False
16,2011-09-01,2011,9,1,3,35,15218,6.7,Kansas,KS,44243.0,False
17,2011-09-01,2011,9,1,3,35,15218,9.7,Kentucky,KY,37579.0,False
18,2011-09-01,2011,9,1,3,35,15218,6.9,Louisiana,LA,48599.0,False
19,2011-09-01,2011,9,1,3,35,15218,7.5,Maine,ME,38352.0,False
20,2011-09-01,2011,9,1,3,35,15218,7.4,Maryland,MD,53675.0,False
21,2011-09-01,2011,9,1,3,35,15218,7.3,Massachusetts,MA,60808.0,False
22,2011-09-01,2011,9,1,3,35,15218,11.1,Michigan,MI,38763.0,False
23,2011-09-01,2011,9,1,3,35,15218,6.9,Minnesota,MN,50148.0,False
24,2011-09-01,2011,9,1,3,35,15218,10.6,Mississippi,MS,31688.0,False
25,2011-09-01,2011,9,1,3,35,15218,8.7,Missouri,MO,42204.0,False
26,2011-09-01,2011,9,1,3,35,15218,7.7,Montana,MT,37733.0,False
