Date,Airport,Total,Flights,Booths,Mean per flight
01/09/2011,ATL,11328,68,432,166.59
01/09/2011,CLT,2466,15,68,164.4
01/09/2011,DEN,803,7,31,114.71
01/09/2011,DFW,5061,51,244,99.24
01/09/2011,DTW,3711,18,176,206.17
01/09/2011,EWR,16387,94,535,174.33
01/09/2011,IAH,8493,91,393,93.33
01/09/2011,JFK,42999,191,1627,225.13
01/09/2011,LAS,2787,16,85,174.19
01/09/2011,LAX,22513,105,928,214.41
01/09/2011,MCO,3750,21,201,178.57
01/09/2011,MIA,22005,159,775,138.4
01/09/2011,MSP,1714,10,55,171.4
01/09/2011,ORD,12436,62,412,200.58
01/09/2011,PHL,5099,28,120,182.11
01/09/2011,PHX,1403,17,79,82.53
01/09/2011,SEA,3587,21,134,170.81
01/09/2011,SFO,11567,49,518,236.06
01/09/2011,LGA,16387,94,535,174.33
01/09/2011,BOS,5935,32,216,185
02/09/2011,ATL,10735,66,384,162.65
02/09/2011,CLT,2867,18,70,159.28
02/09/2011,DEN,774,7,33,110.57
02/09/2011,DFW,5782,56,230,103.25
02/09/2011,DTW,3951,19,196,207.95
02/09/2011,EWR,15528,93,535,166.97
02/09/2011,IAH,8823,94,387,93.86
02/09/2011,JFK,41788,191,1667,218.79
02/09/2011,LAS,1488,9,52,165.33
02/09/2011,LAX,21418,106,978,202.06
02/09/2011,MCO,3502,20,203,175.1
02/09/2011,MIA,23946,168,879,142.54
02/09/2011,MSP,1832,11,59,166.55
02/09/2011,ORD,12759,68,382,187.63
02/09/2011,PHL,4295,27,127,159.07
02/09/2011,PHX,1360,17,78,80
02/09/2011,SEA,3633,21,146,173
02/09/2011,SFO,11045,51,501,216.57
02/09/2011,LGA,15528,93,535,166.97
02/09/2011,BOS,5799,32,192,181
03/09/2011,ATL,13335,78,453,170.96
03/09/2011,CLT,3727,27,84,138.04
03/09/2011,DEN,1344,13,42,103.38
03/09/2011,DFW,6560,58,253,113.1
03/09/2011,DTW,4986,24,224,207.75
03/09/2011,EWR,16269,98,535,166.01
03/09/2011,IAH,9974,99,385,100.75
03/09/2011,JFK,41347,192,1538,215.35
03/09/2011,LAS,1254,7,35,179.14
03/09/2011,LAX,23996,119,975,201.65
03/09/2011,MCO,4503,26,194,173.19
03/09/2011,MIA,23758,170,814,139.75
03/09/2011,MSP,1962,12,51,163.5
03/09/2011,ORD,12257,68,393,180.25
03/09/2011,PHL,5567,34,162,163.74
03/09/2011,PHX,1048,12,58,87.33
03/09/2011,SEA,3532,21,151,168.19
03/09/2011,SFO,10537,49,489,215.04
03/09/2011,LGA,16269,98,535,166.01
03/09/2011,BOS,4649,28,154,166
04/09/2011,ATL,11730,68,422,172.5
04/09/2011,CLT,3439,22,75,156.32
04/09/2011,DEN,758,5,29,151.6
04/09/2011,DFW,6733,59,226,114.12
04/09/2011,DTW,4165,20,207,208.25
04/09/2011,EWR,14180,89,478,159.33
04/09/2011,IAH,9418,96,455,98.1
04/09/2011,JFK,40947,190,1651,215.51
04/09/2011,LAS,2587,15,80,172.47
04/09/2011,LAX,22253,108,972,206.05
04/09/2011,MCO,3251,21,189,154.81
04/09/2011,MIA,23600,171,898,138.01
04/09/2011,MSP,1799,11,58,163.55
04/09/2011,ORD,12384,67,392,184.84
04/09/2011,PHL,4977,31,147,160.55
04/09/2011,PHX,2182,20,78,109.1
04/09/2011,SEA,2886,18,103,160.33
04/09/2011,SFO,10916,50,461,218.32
04/09/2011,LGA,14180,89,478,159.33
04/09/2011,BOS,5442,32,183,170
05/09/2011,ATL,12665,70,436,180.93
05/09/2011,CLT,3187,17,82,187.47
05/09/2011,DEN,848,7,27,121.14
05/09/2011,DFW,7219,56,263,128.91
05/09/2011,DTW,4810,21,211,229.05
05/09/2011,EWR,16517,93,514,177.6
05/09/2011,IAH,10520,93,370,113.12
05/09/2011,JFK,40712,183,1601,222.47
05/09/2011,LAS,1406,8,46,175.75
05/09/2011,LAX,23202,109,986,212.86
05/09/2011,MCO,3190,18,154,177.22
05/09/2011,MIA,24833,176,927,141.1
05/09/2011,MSP,1913,11,45,173.91
05/09/2011,ORD,13577,67,404,202.64
05/09/2011,PHL,4919,27,170,182.19
05/09/2011,PHX,2047,17,79,120.41
05/09/2011,SEA,3780,21,141,180
05/09/2011,SFO,11436,46,488,248.61
05/09/2011,LGA,16517,93,514,177.6
05/09/2011,BOS,6682,34,202,196
06/09/2011,ATL,10406,60,432,173.43
06/09/2011,CLT,2915,17,70,171.47
06/09/2011,DEN,820,7,28,117.14
06/09/2011,DFW,5229,50,248,104.58
06/09/2011,DTW,3492,18,187,194
06/09/2011,EWR,13912,87,443,159.91
06/09/2011,IAH,8752,92,386,95.13
06/09/2011,JFK,38216,178,1745,214.7
06/09/2011,LAS,1605,9,52,178.33
06/09/2011,LAX,20973,100,939,209.73
06/09/2011,MCO,3541,20,186,177.05
06/09/2011,MIA,20363,140,788,145.45
06/09/2011,MSP,1790,11,43,162.73
06/09/2011,ORD,11915,62,325,192.18
06/09/2011,PHL,4118,26,169,158.38
06/09/2011,PHX,1757,16,65,109.81
06/09/2011,SEA,3354,19,136,176.53
06/09/2011,SFO,11538,49,447,235.47
06/09/2011,LGA,13912,87,443,159.91
06/09/2011,BOS,5161,31,179,166
07/09/2011,ATL,9529,61,394,156.21
07/09/2011,CLT,1927,13,43,148.23
07/09/2011,DEN,855,7,31,122.14
07/09/2011,DFW,5978,55,225,108.69
07/09/2011,DTW,3737,18,167,207.61
07/09/2011,EWR,13327,88,473,151.44
07/09/2011,IAH,7895,84,370,93.99
07/09/2011,JFK,35560,163,1460,218.16
07/09/2011,LAS,1854,10,77,185.4
07/09/2011,LAX,19446,98,925,198.43
07/09/2011,MCO,3133,17,144,184.29
07/09/2011,MIA,20518,148,739,138.64
07/09/2011,MSP,1686,11,44,153.27
07/09/2011,ORD,12185,66,321,184.62
07/09/2011,PHL,3545,24,149,147.71
07/09/2011,PHX,847,10,48,84.7
07/09/2011,SEA,3452,21,144,164.38
07/09/2011,SFO,9998,47,443,212.72
07/09/2011,LGA,13327,88,473,151.44
07/09/2011,BOS,4626,29,165,159
08/09/2011,ATL,9228,63,334,146.48
08/09/2011,CLT,1796,13,49,138.15
08/09/2011,DEN,793,7,30,113.29
08/09/2011,DFW,5113,53,189,96.47
08/09/2011,DTW,2862,16,162,178.88
08/09/2011,EWR,12705,87,476,146.03
08/09/2011,IAH,7557,92,381,82.14
08/09/2011,JFK,34152,165,1494,206.98
08/09/2011,LAS,2938,18,89,163.22
08/09/2011,LAX,20270,105,963,193.05
08/09/2011,MCO,3156,19,212,166.11
08/09/2011,MIA,20949,155,821,135.15
08/09/2011,MSP,1506,10,52,150.6
08/09/2011,ORD,10726,61,366,175.84
08/09/2011,PHL,3481,27,133,128.93
08/09/2011,PHX,1107,16,67,69.19
08/09/2011,SEA,3062,19,114,161.16
08/09/2011,SFO,10535,46,433,229.02
08/09/2011,LGA,12705,87,476,146.03
08/09/2011,BOS,4455,31,164,143
09/09/2011,ATL,10061,63,353,159.7
09/09/2011,CLT,2357,16,84,147.31
09/09/2011,DEN,858,7,35,122.57
09/09/2011,DFW,5793,52,202,111.4
09/09/2011,DTW,3629,18,154,201.61
09/09/2011,EWR,13746,91,503,151.05
09/09/2011,IAH,9137,96,461,95.18
09/09/2011,JFK,35301,175,1536,201.72
09/09/2011,LAS,1793,11,81,163
09/09/2011,LAX,19655,99,948,198.54
09/09/2011,MCO,3314,18,177,184.11
09/09/2011,MIA,22919,161,811,142.35
09/09/2011,MSP,1691,11,52,153.73
09/09/2011,ORD,12133,68,419,178.43
09/09/2011,PHL,3675,25,150,147
09/09/2011,PHX,1327,16,70,82.94
09/09/2011,SEA,3512,21,126,167.24
09/09/2011,SFO,10498,45,484,233.29
09/09/2011,LGA,13746,91,503,151.05
09/09/2011,BOS,4908,32,137,153
10/09/2011,ATL,12985,74,448,175.47
10/09/2011,CLT,3098,18,74,172.11
10/09/2011,DEN,1534,13,35,118
10/09/2011,DFW,7500,58,251,129.31
10/09/2011,DTW,4490,20,173,224.5
10/09/2011,EWR,15515,95,525,163.32
10/09/2011,IAH,11143,99,446,112.56
10/09/2011,JFK,35787,168,1368,213.02
10/09/2011,LAS,1521,10,58,152.1
10/09/2011,LAX,23008,111,1006,207.28
10/09/2011,MCO,4469,22,196,203.14
10/09/2011,MIA,24208,157,885,154.19
10/09/2011,MSP,1963,12,78,163.58
10/09/2011,ORD,13679,66,378,207.26
10/09/2011,PHL,4620,28,158,165
10/09/2011,PHX,1542,15,67,102.8
10/09/2011,SEA,3750,22,151,170.45
10/09/2011,SFO,12154,50,555,243.08
10/09/2011,LGA,15515,95,525,163.32
10/09/2011,BOS,4768,26,167,183
11/09/2011,ATL,11217,68,440,164.96
11/09/2011,CLT,2807,17,64,165.12
11/09/2011,DEN,801,7,23,114.43
11/09/2011,DFW,6785,58,244,116.98
11/09/2011,DTW,3614,18,185,200.78
11/09/2011,EWR,13023,89,491,146.33
11/09/2011,IAH,9967,96,401,103.82
11/09/2011,JFK,34171,168,1575,203.4
11/09/2011,LAS,2823,16,109,176.44
11/09/2011,LAX,21286,106,1047,200.81
11/09/2011,MCO,3041,19,178,160.05
11/09/2011,MIA,23241,160,786,145.26
11/09/2011,MSP,1647,10,51,164.7
11/09/2011,ORD,12432,67,366,185.55
11/09/2011,PHL,4548,27,179,168.44
11/09/2011,PHX,1690,18,81,93.89
11/09/2011,SEA,3150,19,117,165.79
11/09/2011,SFO,11484,48,542,239.25
11/09/2011,LGA,13023,89,491,146.33
11/09/2011,BOS,4894,30,170,163
12/09/2011,ATL,10292,64,428,160.81
12/09/2011,CLT,2425,14,62,173.21
12/09/2011,DEN,847,7,36,121
12/09/2011,DFW,6029,54,205,111.65
12/09/2011,DTW,3600,18,168,200
12/09/2011,EWR,14664,93,540,157.68
12/09/2011,IAH,8719,94,336,92.76
12/09/2011,JFK,35314,163,1491,216.65
12/09/2011,LAS,1740,11,72,158.18
12/09/2011,LAX,19842,101,965,196.46
12/09/2011,MCO,3012,16,164,188.25
12/09/2011,MIA,22077,159,783,138.85
12/09/2011,MSP,1732,12,48,144.33
12/09/2011,ORD,12445,68,405,183.01
12/09/2011,PHL,4191,25,146,167.64
12/09/2011,PHX,1420,15,65,94.67
12/09/2011,SEA,3493,21,135,166.33
12/09/2011,SFO,10377,45,435,230.6
12/09/2011,LGA,14664,93,540,157.68
12/09/2011,BOS,5321,31,171,171
13/09/2011,ATL,8785,58,353,151.47
13/09/2011,CLT,1886,11,67,171.45
13/09/2011,DEN,745,7,30,106.43
13/09/2011,DFW,4566,47,203,97.15
13/09/2011,DTW,2904,17,136,170.82
13/09/2011,EWR,12099,86,488,140.69
13/09/2011,IAH,7082,84,353,84.31
13/09/2011,JFK,30899,155,1433,199.35
13/09/2011,LAS,1614,10,64,161.4
13/09/2011,LAX,18948,97,969,195.34
13/09/2011,MCO,3155,18,156,175.28
13/09/2011,MIA,18170,139,777,130.72
13/09/2011,MSP,1617,11,68,147
13/09/2011,ORD,11097,61,346,181.92
13/09/2011,PHL,3547,26,149,136.42
13/09/2011,PHX,1013,11,78,92.09
13/09/2011,SEA,2883,18,128,160.17
13/09/2011,SFO,10475,48,455,218.23
13/09/2011,LGA,12099,86,488,140.69
13/09/2011,BOS,4386,30,135,146
14/09/2011,ATL,9681,61,339,158.7
14/09/2011,CLT,2068,12,61,172.33
14/09/2011,DEN,835,7,26,119.29
14/09/2011,DFW,6177,54,215,114.39
14/09/2011,DTW,3587,18,142,199.28
14/09/2011,EWR,13200,86,503,153.49
14/09/2011,IAH,8213,83,388,98.95
14/09/2011,JFK,32475,162,1621,200.46
14/09/2011,LAS,4146,29,146,142.97
14/09/2011,LAX,20397,100,934,203.97
14/09/2011,MCO,3140,17,152,184.71
14/09/2011,MIA,20330,151,779,134.64
14/09/2011,MSP,1713,11,62,155.73
14/09/2011,ORD,11433,67,343,170.64
14/09/2011,PHL,3347,24,128,139.46
14/09/2011,PHX,887,10,75,88.7
14/09/2011,SEA,3484,20,138,174.2
14/09/2011,SFO,10754,46,489,233.78
14/09/2011,LGA,13200,86,503,153.49
14/09/2011,BOS,4587,30,171,152
15/09/2011,ATL,10033,63,368,159.25
15/09/2011,CLT,2306,14,62,164.71
15/09/2011,DEN,803,7,38,114.71
15/09/2011,DFW,6071,52,235,116.75
15/09/2011,DTW,3441,16,173,215.06
15/09/2011,EWR,13544,87,511,155.68
15/09/2011,IAH,9051,93,421,97.32
15/09/2011,JFK,33130,159,1526,208.36
15/09/2011,LAS,4101,25,131,164.04
15/09/2011,LAX,21893,102,1035,214.64
15/09/2011,MCO,3280,20,194,164
15/09/2011,MIA,21912,154,830,142.29
15/09/2011,MSP,1759,10,46,175.9
15/09/2011,ORD,12158,61,393,199.31
15/09/2011,PHL,4091,27,159,151.52
15/09/2011,PHX,1361,15,72,90.73
15/09/2011,SEA,3158,19,153,166.21
15/09/2011,SFO,11781,46,539,256.11
15/09/2011,LGA,13544,87,511,155.68
15/09/2011,BOS,4794,29,156,165
16/09/2011,ATL,10130,62,398,163.39
16/09/2011,CLT,2377,14,82,169.79
16/09/2011,DEN,845,7,36,120.71
16/09/2011,DFW,5810,49,225,118.57
16/09/2011,DTW,3816,18,164,212
16/09/2011,EWR,14816,92,533,161.04
16/09/2011,IAH,9413,96,451,98.05
16/09/2011,JFK,35071,166,1528,211.27
16/09/2011,LAS,1793,10,56,179.3
16/09/2011,LAX,21158,100,963,211.58
16/09/2011,MCO,3418,19,182,179.89
16/09/2011,MIA,22593,156,884,144.83
16/09/2011,MSP,1988,11,54,180.73
16/09/2011,ORD,13822,68,431,203.26
16/09/2011,PHL,4442,26,171,170.85
16/09/2011,PHX,1326,16,74,82.88
16/09/2011,SEA,3653,21,155,173.95
16/09/2011,SFO,12070,50,519,241.4
16/09/2011,LGA,14816,92,533,161.04
16/09/2011,BOS,5709,30,187,190
17/09/2011,ATL,12381,74,399,167.31
17/09/2011,CLT,3232,19,78,170.11
17/09/2011,DEN,1401,13,42,107.77
17/09/2011,DFW,7000,56,227,125
17/09/2011,DTW,4374,20,179,218.7
17/09/2011,EWR,15984,98,511,163.1
17/09/2011,IAH,10093,99,437,101.95
17/09/2011,JFK,35521,165,1418,215.28
17/09/2011,LAS,1532,10,47,153.2
17/09/2011,LAX,23610,113,977,208.94
17/09/2011,MCO,4488,22,200,204
17/09/2011,MIA,23384,161,801,145.24
17/09/2011,MSP,2115,12,67,176.25
17/09/2011,ORD,13925,66,404,210.98
17/09/2011,PHL,5218,30,187,173.93
17/09/2011,PHX,1318,15,70,87.87
17/09/2011,SEA,3851,21,185,183.38
17/09/2011,SFO,11495,47,523,244.57
17/09/2011,LGA,15984,98,511,163.1
17/09/2011,BOS,5139,26,140,197
18/09/2011,ATL,11472,68,469,168.71
18/09/2011,CLT,2863,16,67,178.94
18/09/2011,DEN,886,8,21,110.75
18/09/2011,DFW,6924,57,253,121.47
18/09/2011,DTW,3912,18,199,217.33
18/09/2011,EWR,14394,92,517,156.46
18/09/2011,IAH,9904,96,441,103.17
18/09/2011,JFK,36340,168,1597,216.31
18/09/2011,LAS,2868,18,93,159.33
18/09/2011,LAX,23031,108,987,213.25
18/09/2011,MCO,3219,19,192,169.42
18/09/2011,MIA,23641,166,845,142.42
18/09/2011,MSP,1801,10,50,180.1
18/09/2011,ORD,13752,68,405,202.24
18/09/2011,PHL,4791,26,200,184.27
18/09/2011,PHX,1853,18,91,102.94
18/09/2011,SEA,3103,19,153,163.32
18/09/2011,SFO,11864,46,501,257.91
18/09/2011,LGA,14394,92,517,156.46
18/09/2011,BOS,5696,31,181,183
19/09/2011,ATL,10704,64,390,167.25
19/09/2011,CLT,2538,14,76,181.29
19/09/2011,DEN,841,8,25,105.13
19/09/2011,DFW,6354,55,239,115.53
19/09/2011,DTW,3675,18,181,204.17
19/09/2011,EWR,14045,95,498,147.84
19/09/2011,IAH,8297,93,370,89.22
19/09/2011,JFK,31348,149,1466,210.39
19/09/2011,LAS,1552,11,61,141.09
19/09/2011,LAX,20440,102,968,200.39
19/09/2011,MCO,2951,16,162,184.44
19/09/2011,MIA,20413,158,777,129.2
19/09/2011,MSP,1751,11,62,159.18
19/09/2011,ORD,12374,67,374,184.69
19/09/2011,PHL,4090,24,153,170.42
19/09/2011,PHX,1568,15,75,104.53
19/09/2011,SEA,3608,21,114,171.81
19/09/2011,SFO,10642,45,413,236.49
19/09/2011,LGA,14045,95,498,147.84
19/09/2011,BOS,5201,28,158,185
20/09/2011,ATL,8701,58,343,150.02
20/09/2011,CLT,1999,11,63,181.73
20/09/2011,DEN,726,8,39,90.75
20/09/2011,DFW,4966,52,211,95.5
20/09/2011,DTW,3012,17,123,177.18
20/09/2011,EWR,11989,88,445,136.24
20/09/2011,IAH,6752,84,335,80.38
20/09/2011,JFK,30034,157,1424,191.3
20/09/2011,LAS,1412,9,53,156.89
20/09/2011,LAX,19355,98,882,197.5
20/09/2011,MCO,3362,19,164,176.95
20/09/2011,MIA,17916,145,715,123.56
20/09/2011,MSP,1702,11,55,154.73
20/09/2011,ORD,11272,62,350,181.81
20/09/2011,PHL,3958,25,153,158.32
20/09/2011,PHX,929,11,61,84.45
20/09/2011,SEA,3122,19,122,164.32
20/09/2011,SFO,10702,47,470,227.7
20/09/2011,LGA,11989,88,445,136.24
20/09/2011,BOS,4708,30,185,156
21/09/2011,ATL,8935,60,378,148.92
21/09/2011,CLT,2129,13,53,163.77
21/09/2011,DEN,820,8,31,102.5
21/09/2011,DFW,4856,51,242,95.22
21/09/2011,DTW,3553,18,185,197.39
21/09/2011,EWR,12284,87,515,141.2
21/09/2011,IAH,6617,84,328,78.77
21/09/2011,JFK,28644,150,1380,190.96
21/09/2011,LAS,1905,10,71,190.5
21/09/2011,LAX,18254,95,994,192.15
21/09/2011,MCO,2746,17,153,161.53
21/09/2011,MIA,18289,148,809,123.57
21/09/2011,MSP,1553,10,52,155.3
21/09/2011,ORD,11093,65,318,170.66
21/09/2011,PHL,3736,26,138,143.69
21/09/2011,PHX,601,10,58,60.1
21/09/2011,SEA,2954,19,144,155.47
21/09/2011,SFO,9582,45,451,212.93
21/09/2011,LGA,12284,87,515,141.2
21/09/2011,BOS,4666,28,150,166
22/09/2011,ATL,9328,63,386,148.06
22/09/2011,CLT,2072,13,72,159.38
22/09/2011,DEN,784,7,37,112
22/09/2011,DFW,4906,51,200,96.2
22/09/2011,DTW,3358,18,152,186.56
22/09/2011,EWR,12977,86,496,150.9
22/09/2011,IAH,7319,92,375,79.55
22/09/2011,JFK,31016,157,1310,197.55
22/09/2011,LAS,2932,16,86,183.25
22/09/2011,LAX,20367,102,1024,199.68
22/09/2011,MCO,3114,20,177,155.7
22/09/2011,MIA,19699,151,790,130.46
22/09/2011,MSP,1803,10,52,180.3
22/09/2011,ORD,10976,61,449,179.93
22/09/2011,PHL,3663,25,158,146.52
22/09/2011,PHX,1054,16,70,65.88
22/09/2011,SEA,3047,18,159,169.28
22/09/2011,SFO,11322,47,475,240.89
22/09/2011,LGA,12977,86,496,150.9
22/09/2011,BOS,4716,27,153,174
23/09/2011,ATL,10045,63,366,159.44
23/09/2011,CLT,2396,14,64,171.14
23/09/2011,DEN,859,7,35,122.71
23/09/2011,DFW,6181,54,216,114.46
23/09/2011,DTW,3863,18,182,214.61
23/09/2011,EWR,14221,89,550,159.79
23/09/2011,IAH,8868,97,426,91.42
23/09/2011,JFK,32450,160,1377,202.81
23/09/2011,LAS,1720,13,68,132.31
23/09/2011,LAX,19744,101,932,195.49
23/09/2011,MCO,3063,18,147,170.17
23/09/2011,MIA,21774,160,906,136.09
23/09/2011,MSP,1923,12,71,160.25
23/09/2011,ORD,12842,68,468,188.85
23/09/2011,PHL,4278,24,150,178.25
23/09/2011,PHX,1223,16,81,76.44
23/09/2011,SEA,3708,22,196,168.55
23/09/2011,SFO,11287,48,477,235.15
23/09/2011,LGA,14221,89,550,159.79
23/09/2011,BOS,5815,31,183,187
24/09/2011,ATL,12740,78,415,163.33
24/09/2011,CLT,3112,19,78,163.79
24/09/2011,DEN,1419,13,47,109.15
24/09/2011,DFW,7265,60,230,121.08
24/09/2011,DTW,4386,20,144,219.3
24/09/2011,EWR,15492,97,521,159.71
24/09/2011,IAH,9737,100,361,97.37
24/09/2011,JFK,33441,163,1371,205.16
24/09/2011,LAS,1527,9,36,169.67
24/09/2011,LAX,22566,110,978,205.15
24/09/2011,MCO,4308,22,203,195.82
24/09/2011,MIA,22844,160,858,142.78
24/09/2011,MSP,1971,12,85,164.25
24/09/2011,ORD,13091,66,394,198.35
24/09/2011,PHL,5084,30,188,169.47
24/09/2011,PHX,1425,15,68,95
24/09/2011,SEA,3753,22,163,170.59
24/09/2011,SFO,11318,47,481,240.81
24/09/2011,LGA,15492,97,521,159.71
24/09/2011,BOS,5349,26,163,205
25/09/2011,ATL,11047,66,448,167.38
25/09/2011,CLT,2773,16,70,173.31
25/09/2011,DEN,871,7,41,124.43
25/09/2011,DFW,6861,58,258,118.29
25/09/2011,DTW,3687,18,183,204.83
25/09/2011,EWR,13877,92,600,150.84
25/09/2011,IAH,9529,96,375,99.26
25/09/2011,JFK,33683,161,1439,209.21
25/09/2011,LAS,2985,19,82,157.11
25/09/2011,LAX,21304,106,964,200.98
25/09/2011,MCO,3077,19,166,161.95
25/09/2011,MIA,21790,157,838,138.79
25/09/2011,MSP,1489,9,44,165.44
25/09/2011,ORD,13467,70,371,192.39
25/09/2011,PHL,4807,26,174,184.88
25/09/2011,PHX,1684,18,77,93.56
25/09/2011,SEA,3021,18,151,167.83
25/09/2011,SFO,11496,46,511,249.91
25/09/2011,LGA,13877,92,600,150.84
25/09/2011,BOS,5650,29,157,194
26/09/2011,ATL,10218,65,352,157.2
26/09/2011,CLT,2479,13,51,190.69
26/09/2011,DEN,833,7,26,119
26/09/2011,DFW,6207,53,213,117.11
26/09/2011,DTW,3597,19,172,189.32
26/09/2011,EWR,13852,92,504,150.57
26/09/2011,IAH,8066,94,322,85.81
26/09/2011,JFK,31096,154,1340,201.92
26/09/2011,LAS,1747,11,64,158.82
26/09/2011,LAX,19669,104,859,189.13
26/09/2011,MCO,2759,16,135,172.44
26/09/2011,MIA,19856,153,805,129.78
26/09/2011,MSP,1822,12,56,151.83
26/09/2011,ORD,11596,66,347,175.7
26/09/2011,PHL,4305,23,148,187.17
26/09/2011,PHX,1427,15,63,95.13
26/09/2011,SEA,3253,20,140,162.65
26/09/2011,SFO,10452,45,495,232.27
26/09/2011,LGA,13852,92,504,150.57
26/09/2011,BOS,4998,28,169,178
27/09/2011,ATL,8467,58,356,145.98
27/09/2011,CLT,1990,11,53,180.91
27/09/2011,DEN,669,7,29,95.57
27/09/2011,DFW,4665,50,205,93.3
27/09/2011,DTW,2813,16,190,175.81
27/09/2011,EWR,11948,86,480,138.93
27/09/2011,IAH,6134,80,333,76.68
27/09/2011,JFK,28894,155,1369,186.41
27/09/2011,LAS,1168,7,44,166.86
27/09/2011,LAX,17316,91,882,190.29
27/09/2011,MCO,3169,19,142,166.79
27/09/2011,MIA,17207,138,703,124.69
27/09/2011,MSP,1589,11,67,144.45
27/09/2011,ORD,10833,60,367,180.55
27/09/2011,PHL,4024,26,154,154.77
27/09/2011,PHX,890,11,69,80.91
27/09/2011,SEA,2815,19,138,148.16
27/09/2011,SFO,10007,46,529,217.54
27/09/2011,LGA,11948,86,480,138.93
27/09/2011,BOS,4589,31,187,148
28/09/2011,ATL,9100,61,385,149.18
28/09/2011,CLT,2174,13,71,167.23
28/09/2011,DEN,855,7,29,122.14
28/09/2011,DFW,5219,54,232,96.65
28/09/2011,DTW,3771,18,188,209.5
28/09/2011,EWR,12277,81,477,151.57
28/09/2011,IAH,6649,84,349,79.15
28/09/2011,JFK,28504,151,1422,188.77
28/09/2011,LAS,1779,9,69,197.67
28/09/2011,LAX,17995,96,899,187.45
28/09/2011,MCO,2906,17,129,170.94
28/09/2011,MIA,18598,144,776,129.15
28/09/2011,MSP,1796,11,82,163.27
28/09/2011,ORD,11546,64,309,180.41
28/09/2011,PHL,3995,26,127,153.65
28/09/2011,PHX,581,10,37,58.1
28/09/2011,SEA,3016,20,171,150.8
28/09/2011,SFO,10051,46,516,218.5
28/09/2011,LGA,12277,81,477,151.57
28/09/2011,BOS,4718,28,197,168
29/09/2011,ATL,10137,67,379,151.3
29/09/2011,CLT,2247,13,69,172.85
29/09/2011,DEN,839,7,31,119.86
29/09/2011,DFW,5011,52,202,96.37
29/09/2011,DTW,3357,16,192,209.81
29/09/2011,EWR,12443,82,485,151.74
29/09/2011,IAH,7412,89,353,83.28
29/09/2011,JFK,30373,150,1317,202.49
29/09/2011,LAS,2901,17,84,170.65
29/09/2011,LAX,19335,97,907,199.33
29/09/2011,MCO,3306,20,198,165.3
29/09/2011,MIA,20951,154,769,136.05
29/09/2011,MSP,1743,10,65,174.3
