,DateOfDeparture,year,month,day,weekday,week,n_days,UnemploymentRate,State,Abbreviation,GDP_per_cap,holidays
0,2011-01-01,2011,1,1,5,52,14975,9.3,Alabama,AL,35913.0,True
1,2011-01-01,2011,1,1,5,52,14975,7.7,Alaska,AK,69564.0,True
2,2011-01-01,2011,1,1,5,52,14975,9.6,Arizona,AZ,37935.0,True
3,2011-01-01,2011,1,1,5,52,14975,7.8,Arkansas,AR,34671.0,True
4,2011-01-01,2011,1,1,5,52,14975,12.4,California,CA,51871.0,True
5,2011-01-01,2011,1,1,5,52,14975,9.1,Colorado,CO,49254.0,True
6,2011-01-01,2011,1,1,5,52,14975,9.0,Connecticut,CT,64906.0,True
7,2011-01-01,2011,1,1,5,52,14975,8.5,Delaware,DE,62837.0,True
8,2011-01-01,2011,1,1,5,52,14975,9.6,District of Columbia,DC,16803.0,True
9,2011-01-01,2011,1,1,5,52,14975,11.9,Florida,FL,38604.0,True
10,2011-01-01,2011,1,1,5,52,14975,10.4,Georgia,GA,42029.0,True
11,2011-01-01,2011,1,1,5,52,14975,6.3,Hawaii,HI,49418.0,True
12,2011-01-01,2011,1,1,5,52,14975,9.7,Idaho,ID,3462.0,True
13,2011-01-01,2011,1,1,5,52,14975,9.0,Illinois,IL,50304.0,True
14,2011-01-01,2011,1,1,5,52,14975,9.1,Indiana,IN,42996.0,True
15,2011-01-01,2011,1,1,5,52,14975,6.1,Iowa,IA,45884.0,True
16,2011-01-01,2011,1,1,5,52,14975,6.8,Kansas,KS,44243.0,True
17,2011-01-01,2011,1,1,5,52,14975,10.4,Kentucky,KY,37579.0,True
18,2011-01-01,2011,1,1,5,52,14975,7.8,Louisiana,LA,48599.0,True
19,2011-01-01,2011,1,1,5,52,14975,7.5,Maine,ME,38352.0,True
20,2011-01-01,2011,1,1,5,52,14975,7.2,Maryland,MD,53675.0,True
21,2011-01-01,2011,1,1,5,52,14975,8.3,Massachusetts,MA,60808.0,True
22,2011-01-01,2011,1,1,5,52,14975,10.7,Michigan,MI,38763.0,True
23,2011-01-01,2011,1,1,5,52,14975,6.7,Minnesota,MN,50148.0,True
24,2011-01-01,2011,1,1,5,52,14975,10.1,Mississippi,MS,31688.0,True
25,2011-01-01,2011,1,1,5,52,14975,9.6,Missouri,MO,42204.0,True
26,2011-01-01,2011,1,1,5,52,14975,7.5,Montana,MT,37733.0,True
27,2011-01-01,2011,1,1,5,52,14975,4.2,Nebraska,NE,49569.0,True
28,2011-01-01,2011,1,1,5,52,14975,14.2,Nevada,NV,44589.0,True
29,2011-01-01,2011,1,1,5,52,14975,5.6,New Hampshire,NH,48388.0,True
30,2011-01-01,2011,1,1,5,52,14975,9.1,New Jersey,NJ,55023.0,True
31,2011-01-01,2011,1,1,5,52,14975,8.7,New Mexico,NM,40297.0,True
32,2011-01-01,2011,1,1,5,52,14975,8.3,New York,NY,61267.0,True
33,2011-01-01,2011,1,1,5,52,14975,9.9,North Carolina,NC,43141.0,True
34,2011-01-01,2011,1,1,5,52,14975,3.8,North Dakota,ND,52185.0,True
35,2011-01-01,2011,1,1,5,52,14975,9.4,Ohio,OH,42667.0,True
36,2011-01-01,2011,1,1,5,52,14975,6.6,Oklahoma,OK,38303.0,True
37,2011-01-01,2011,1,1,5,52,14975,10.4,Oregon,OR,49601.0,True
38,2011-01-01,2011,1,1,5,52,14975,8.2,Pennsylvania,PA,46387.0,True
40,2011-01-01,2011,1,1,5,52,14975,11.3,Rhode Island,RI,46332.0,True
41,2011-01-01,2011,1,1,5,52,14975,10.5,South Carolina,SC,35126.0,True
42,2011-01-01,2011,1,1,5,52,14975,4.7,South Dakota,SD,45605.0,True
43,2011-01-01,2011,1,1,5,52,14975,9.5,Tennessee,TN,3937.0,True
44,2011-01-01,2011,1,1,5,52,14975,8.3,Texas,TX,47417.0,True
45,2011-01-01,2011,1,1,5,52,14975,7.6,Utah,UT,415.0,True
46,2011-01-01,2011,1,1,5,52,14975,5.7,Vermont,VT,4217.0,True
47,2011-01-01,2011,1,1,5,52,14975,6.5,Virginia,VA,51946.0,True
48,2011-01-01,2011,1,1,5,52,14975,9.1,Washington,WA,52679.0,True
49,2011-01-01,2011,1,1,5,52,14975,9.6,West Virginia,WV,35368.0,True
50,2011-01-01,2011,1,1,5,52,14975,7.4,Wisconsin,WI,44126.0,True
51,2011-01-01,2011,1,1,5,52,14975,6.3,Wyoming,WY,64603.0,True
52,2011-01-02,2011,1,2,6,52,14976,9.3,Alabama,AL,35913.0,False
53,2011-01-02,2011,1,2,6,52,14976,7.7,Alaska,AK,69564.0,False
54,2011-01-02,2011,1,2,6,52,14976,9.6,Arizona,AZ,37935.0,False
55,2011-01-02,2011,1,2,6,52,14976,7.8,Arkansas,AR,34671.0,False
56,2011-01-02,2011,1,2,6,52,14976,12.4,California,CA,51871.0,False
57,2011-01-02,2011,1,2,6,52,14976,9.1,Colorado,CO,49254.0,False
58,2011-01-02,2011,1,2,6,52,14976,9.0,Connecticut,CT,64906.0,False
59,2011-01-02,2011,1,2,6,52,14976,8.5,Delaware,DE,62837.0,False
60,2011-01-02,2011,1,2,6,52,14976,9.6,District of Columbia,DC,16803.0,False
61,2011-01-02,2011,1,2,6,52,14976,11.9,Florida,FL,38604.0,False
62,2011-01-02,2011,1,2,6,52,14976,10.4,Georgia,GA,42029.0,False
63,2011-01-02,2011,1,2,6,52,14976,6.3,Hawaii,HI,49418.0,False
64,2011-01-02,2011,1,2,6,52,14976,9.7,Idaho,ID,3462.0,False
65,2011-01-02,2011,1,2,6,52,14976,9.0,Illinois,IL,50304.0,False
66,2011-01-02,2011,1,2,6,52,14976,9.1,Indiana,IN,42996.0,False
67,2011-01-02,2011,1,2,6,52,14976,6.1,Iowa,IA,45884.0,False
68,2011-01-02,2011,1,2,6,52,14976,6.8,Kansas,KS,44243.0,False
69,2011-01-02,2011,1,2,6,52,14976,10.4,Kentucky,KY,37579.0,False
70,2011-01-02,2011,1,2,6,52,14976,7.8,Louisiana,LA,48599.0,False
71,2011-01-02,2011,1,2,6,52,14976,7.5,Maine,ME,38352.0,False
72,2011-01-02,2011,1,2,6,52,14976,7.2,Maryland,MD,53675.0,False
73,2011-01-02,2011,1,2,6,52,14976,8.3,Massachusetts,MA,60808.0,False
74,2011-01-02,2011,1,2,6,52,14976,10.7,Michigan,MI,38763.0,False
75,2011-01-02,2011,1,2,6,52,14976,6.7,Minnesota,MN,50148.0,False
76,2011-01-02,2011,1,2,6,52,14976,10.1,Mississippi,MS,31688.0,False
77,2011-01-02,2011,1,2,6,52,14976,9.6,Missouri,MO,42204.0,False
78,2011-01-02,2011,1,2,6,52,14976,7.5,Montana,MT,37733.0,False
79,2011-01-02,2011,1,2,6,52,14976,4.2,Nebraska,NE,49569.0,False
80,2011-01-02,2011,1,2,6,52,14976,14.2,Nevada,NV,44589.0,False
81,2011-01-02,2011,1,2,6,52,14976,5.6,New Hampshire,NH,48388.0,False
82,2011-01-02,2011,1,2,6,52,14976,9.1,New Jersey,NJ,55023.0,False
83,2011-01-02,2011,1,2,6,52,14976,8.7,New Mexico,NM,40297.0,False
84,2011-01-02,2011,1,2,6,52,14976,8.3,New York,NY,61267.0,False
85,2011-01-02,2011,1,2,6,52,14976,9.9,North Carolina,NC,43141.0,False
86,2011-01-02,2011,1,2,6,52,14976,3.8,North Dakota,ND,52185.0,False
87,2011-01-02,2011,1,2,6,52,14976,9.4,Ohio,OH,42667.0,False
88,2011-01-02,2011,1,2,6,52,14976,6.6,Oklahoma,OK,38303.0,False
89,2011-01-02,2011,1,2,6,52,14976,10.4,Oregon,OR,49601.0,False
90,2011-01-02,2011,1,2,6,52,14976,8.2,Pennsylvania,PA,46387.0,False
92,2011-01-02,2011,1,2,6,52,14976,11.3,Rhode Island,RI,46332.0,False
93,2011-01-02,2011,1,2,6,52,14976,10.5,South Carolina,SC,35126.0,False
94,2011-01-02,2011,1,2,6,52,14976,4.7,South Dakota,SD,45605.0,False
95,2011-01-02,2011,1,2,6,52,14976,9.5,Tennessee,TN,3937.0,False
96,2011-01-02,2011,1,2,6,52,14976,8.3,Texas,TX,47417.0,False
97,2011-01-02,2011,1,2,6,52,14976,7.6,Utah,UT,415.0,False
98,2011-01-02,2011,1,2,6,52,14976,5.7,Vermont,VT,4217.0,False
99,2011-01-02,2011,1,2,6,52,14976,6.5,Virginia,VA,51946.0,False
100,2011-01-02,2011,1,2,6,52,14976,9.1,Washington,WA,52679.0,False
101,2011-01-02,2011,1,2,6,52,14976,9.6,West Virginia,WV,35368.0,False
102,2011-01-02,2011,1,2,6,52,14976,7.4,Wisconsin,WI,44126.0,False
103,2011-01-02,2011,1,2,6,52,14976,6.3,Wyoming,WY,64603.0,False
104,2011-01-03,2011,1,3,0,1,14977,9.3,Alabama,AL,35913.0,False
105,2011-01-03,2011,1,3,0,1,14977,7.7,Alaska,AK,69564.0,False
106,2011-01-03,2011,1,3,0,1,14977,9.6,Arizona,AZ,37935.0,False
107,2011-01-03,2011,1,3,0,1,14977,7.8,Arkansas,AR,34671.0,False
108,2011-01-03,2011,1,3,0,1,14977,12.4,California,CA,51871.0,False
109,2011-01-03,2011,1,3,0,1,14977,9.1,Colorado,CO,49254.0,False
110,2011-01-03,2011,1,3,0,1,14977,9.0,Connecticut,CT,64906.0,False
111,2011-01-03,2011,1,3,0,1,14977,8.5,Delaware,DE,62837.0,False
112,2011-01-03,2011,1,3,0,1,14977,9.6,District of Columbia,DC,16803.0,False
113,2011-01-03,2011,1,3,0,1,14977,11.9,Florida,FL,38604.0,False
114,2011-01-03,2011,1,3,0,1,14977,10.4,Georgia,GA,42029.0,False
115,2011-01-03,2011,1,3,0,1,14977,6.3,Hawaii,HI,49418.0,False
116,2011-01-03,2011,1,3,0,1,14977,9.7,Idaho,ID,3462.0,False
117,2011-01-03,2011,1,3,0,1,14977,9.0,Illinois,IL,50304.0,False
118,2011-01-03,2011,1,3,0,1,14977,9.1,Indiana,IN,42996.0,False
119,2011-01-03,2011,1,3,0,1,14977,6.1,Iowa,IA,45884.0,False
120,2011-01-03,2011,1,3,0,1,14977,6.8,Kansas,KS,44243.0,False
121,2011-01-03,2011,1,3,0,1,14977,10.4,Kentucky,KY,37579.0,False
122,2011-01-03,2011,1,3,0,1,14977,7.8,Louisiana,LA,48599.0,False
123,2011-01-03,2011,1,3,0,1,14977,7.5,Maine,ME,38352.0,False
124,2011-01-03,2011,1,3,0,1,14977,7.2,Maryland,MD,53675.0,False
125,2011-01-03,2011,1,3,0,1,14977,8.3,Massachusetts,MA,60808.0,False
126,2011-01-03,2011,1,3,0,1,14977,10.7,Michigan,MI,38763.0,False
127,2011-01-03,2011,1,3,0,1,14977,6.7,Minnesota,MN,50148.0,False
128,2011-01-03,2011,1,3,0,1,14977,10.1,Mississippi,MS,31688.0,False
129,2011-01-03,2011,1,3,0,1,14977,9.6,Missouri,MO,42204.0,False
130,2011-01-03,2011,1,3,0,1,14977,7.5,Montana,MT,37733.0,False
131,2011-01-03,2011,1,3,0,1,14977,4.2,Nebraska,NE,49569.0,False
132,2011-01-03,2011,1,3,0,1,14977,14.2,Nevada,NV,44589.0,False
133,2011-01-03,2011,1,3,0,1,14977,5.6,New Hampshire,NH,48388.0,False
134,2011-01-03,2011,1,3,0,1,14977,9.1,New Jersey,NJ,55023.0,False
135,2011-01-03,2011,1,3,0,1,14977,8.7,New Mexico,NM,40297.0,False
136,2011-01-03,2011,1,3,0,1,14977,8.3,New York,NY,61267.0,False
137,2011-01-03,2011,1,3,0,1,14977,9.9,North Carolina,NC,43141.0,False
138,2011-01-03,2011,1,3,0,1,14977,3.8,North Dakota,ND,52185.0,False
139,2011-01-03,2011,1,3,0,1,14977,9.4,Ohio,OH,42667.0,False
140,2011-01-03,2011,1,3,0,1,14977,6.6,Oklahoma,OK,38303.0,False
141,2011-01-03,2011,1,3,0,1,14977,10.4,Oregon,OR,49601.0,False
142,2011-01-03,2011,1,3,0,1,14977,8.2,Pennsylvania,PA,46387.0,False
144,2011-01-03,2011,1,3,0,1,14977,11.3,Rhode Island,RI,46332.0,False
145,2011-01-03,2011,1,3,0,1,14977,10.5,South Carolina,SC,35126.0,False
146,2011-01-03,2011,1,3,0,1,14977,4.7,South Dakota,SD,45605.0,False
147,2011-01-03,2011,1,3,0,1,14977,9.5,Tennessee,TN,3937.0,False
148,2011-01-03,2011,1,3,0,1,14977,8.3,Texas,TX,47417.0,False
149,2011-01-03,2011,1,3,0,1,14977,7.6,Utah,UT,415.0,False
150,2011-01-03,2011,1,3,0,1,14977,5.7,Vermont,VT,4217.0,False
151,2011-01-03,2011,1,3,0,1,14977,6.5,Virginia,VA,51946.0,False
152,2011-01-03,2011,1,3,0,1,14977,9.1,Washington,WA,52679.0,False
153,2011-01-03,2011,1,3,0,1,14977,9.6,West Virginia,WV,35368.0,False
154,2011-01-03,2011,1,3,0,1,14977,7.4,Wisconsin,WI,44126.0,False
155,2011-01-03,2011,1,3,0,1,14977,6.3,Wyoming,WY,64603.0,False
156,2011-01-04,2011,1,4,1,1,14978,9.3,Alabama,AL,35913.0,False
157,2011-01-04,2011,1,4,1,1,14978,7.7,Alaska,AK,69564.0,False
158,2011-01-04,2011,1,4,1,1,14978,9.6,Arizona,AZ,37935.0,False
159,2011-01-04,2011,1,4,1,1,14978,7.8,Arkansas,AR,34671.0,False
160,2011-01-04,2011,1,4,1,1,14978,12.4,California,CA,51871.0,False
