date,Airport,search_intensity
02/01/2011,JFK,63
02/01/2011,LGA,63
02/01/2011,EWR,63
02/01/2011,ORD,63
02/01/2011,LAS,63
02/01/2011,DEN,53
02/01/2011,ATL,47
02/01/2011,SFO,67
02/01/2011,IAH,96
02/01/2011,LAX,41
02/01/2011,DFW,43
02/01/2011,SEA,37
02/01/2011,PHL,54
02/01/2011,MIA,64
02/01/2011,DTW,44
02/01/2011,BOS,44
02/01/2011,MSP,79
02/01/2011,CLT,30
02/01/2011,PHX,25
02/01/2011,MCO,59
09/01/2011,JFK,81
09/01/2011,LGA,81
09/01/2011,EWR,81
09/01/2011,ORD,72
09/01/2011,LAS,70
09/01/2011,DEN,83
09/01/2011,ATL,100
09/01/2011,SFO,46
09/01/2011,IAH,81
09/01/2011,LAX,34
09/01/2011,DFW,76
09/01/2011,SEA,73
09/01/2011,PHL,57
09/01/2011,MIA,67
09/01/2011,DTW,66
09/01/2011,BOS,71
09/01/2011,MSP,53
09/01/2011,CLT,100
09/01/2011,PHX,30
09/01/2011,MCO,93
16/01/2011,JFK,63
16/01/2011,LGA,63
16/01/2011,EWR,63
16/01/2011,ORD,54
16/01/2011,LAS,72
16/01/2011,DEN,53
16/01/2011,ATL,38
16/01/2011,SFO,58
16/01/2011,IAH,62
16/01/2011,LAX,31
16/01/2011,DFW,43
16/01/2011,SEA,57
16/01/2011,PHL,74
16/01/2011,MIA,69
16/01/2011,DTW,51
16/01/2011,BOS,48
16/01/2011,MSP,76
16/01/2011,CLT,40
16/01/2011,PHX,26
16/01/2011,MCO,52
23/01/2011,JFK,96
23/01/2011,LGA,96
23/01/2011,EWR,96
23/01/2011,ORD,63
23/01/2011,LAS,72
23/01/2011,DEN,65
23/01/2011,ATL,33
23/01/2011,SFO,51
23/01/2011,IAH,63
23/01/2011,LAX,27
23/01/2011,DFW,55
23/01/2011,SEA,60
23/01/2011,PHL,67
23/01/2011,MIA,68
23/01/2011,DTW,34
23/01/2011,BOS,58
23/01/2011,MSP,34
23/01/2011,CLT,31
23/01/2011,PHX,22
23/01/2011,MCO,68
30/01/2011,JFK,72
30/01/2011,LGA,72
30/01/2011,EWR,72
30/01/2011,ORD,94
30/01/2011,LAS,81
30/01/2011,DEN,53
30/01/2011,ATL,39
30/01/2011,SFO,88
30/01/2011,IAH,94
30/01/2011,LAX,25
30/01/2011,DFW,100
30/01/2011,SEA,50
30/01/2011,PHL,62
30/01/2011,MIA,62
30/01/2011,DTW,67
30/01/2011,BOS,68
30/01/2011,MSP,72
30/01/2011,CLT,50
30/01/2011,PHX,24
