date,value
01/09/2011,88.93
02/09/2011,86.45
06/09/2011,86.02
07/09/2011,89.34
08/09/2011,89.05
09/09/2011,87.24
12/09/2011,88.19
13/09/2011,90.21
14/09/2011,88.91
15/09/2011,89.438
16/09/2011,88.048
19/09/2011,85.766
20/09/2011,86.914
21/09/2011,85.92
22/09/2011,80.51
23/09/2011,79.85
26/09/2011,80.24
27/09/2011,84.45
28/09/2011,81.21
29/09/2011,82.14
30/09/2011,79.2
03/10/2011,77.61
04/10/2011,75.67
05/10/2011,79.68
06/10/2011,82.59
07/10/2011,82.98
10/10/2011,85.41
11/10/2011,85.81
12/10/2011,85.57
13/10/2011,84.23
14/10/2011,86.8
17/10/2011,86.428
18/10/2011,88.416
19/10/2011,86.218
20/10/2011,85.916
21/10/2011,87.4
24/10/2011,91.27
25/10/2011,93.17
26/10/2011,90.2
27/10/2011,93.96
28/10/2011,93.32
31/10/2011,93.19
01/11/2011,92.19
02/11/2011,92.51
03/11/2011,94.07
04/11/2011,94.26
07/11/2011,95.52
08/11/2011,96.8
09/11/2011,95.74
10/11/2011,97.78
11/11/2011,98.99
14/11/2011,98.14
15/11/2011,99.382
16/11/2011,102.594
17/11/2011,98.886
18/11/2011,97.618
21/11/2011,96.92
22/11/2011,98.01
23/11/2011,96.17
25/11/2011,96.77
28/11/2011,98.21
29/11/2011,99.79
30/11/2011,100.36
01/12/2011,100.2
02/12/2011,100.96
05/12/2011,100.99
06/12/2011,101.28
07/12/2011,100.49
08/12/2011,98.34
09/12/2011,99.41
12/12/2011,97.77
13/12/2011,100.14
14/12/2011,94.95
15/12/2011,93.91
16/12/2011,93.618
19/12/2011,93.982
20/12/2011,97.236
21/12/2011,98.67
22/12/2011,99.53
23/12/2011,99.68
27/12/2011,101.34
28/12/2011,99.36
29/12/2011,99.65
30/12/2011,98.83
03/01/2012,102.96
04/01/2012,103.22
05/01/2012,101.81
06/01/2012,101.56
09/01/2012,101.31
10/01/2012,102.24
11/01/2012,100.87
12/01/2012,99.1
13/01/2012,98.7
17/01/2012,100.742
18/01/2012,100.658
19/01/2012,100.48
20/01/2012,98.356
23/01/2012,99.58
24/01/2012,98.95
25/01/2012,99.4
26/01/2012,99.7
27/01/2012,99.56
30/01/2012,98.78
31/01/2012,98.48
01/02/2012,97.61
02/02/2012,96.36
03/02/2012,97.84
06/02/2012,96.91
07/02/2012,98.41
08/02/2012,98.71
09/02/2012,99.84
10/02/2012,98.67
13/02/2012,100.91
14/02/2012,100.74
15/02/2012,101.868
16/02/2012,102.442
17/02/2012,103.456
21/02/2012,106.168
22/02/2012,106.28
23/02/2012,107.83
24/02/2012,109.77
27/02/2012,108.56
28/02/2012,106.55
29/02/2012,107.07
01/03/2012,108.84
02/03/2012,106.7
05/03/2012,106.72
06/03/2012,104.7
07/03/2012,106.16
08/03/2012,106.58
09/03/2012,107.4
12/03/2012,106.34
13/03/2012,106.71
14/03/2012,105.43
15/03/2012,105.218
16/03/2012,107.268
19/03/2012,108.372
20/03/2012,105.978
21/03/2012,107.27
22/03/2012,105.35
23/03/2012,106.87
26/03/2012,107.03
27/03/2012,107.33
28/03/2012,105.41
29/03/2012,102.78
30/03/2012,103.02
02/04/2012,105.23
03/04/2012,104.01
04/04/2012,101.47
05/04/2012,103.31
09/04/2012,102.46
10/04/2012,101.02
11/04/2012,102.7
12/04/2012,103.64
13/04/2012,102.83
16/04/2012,102.93
17/04/2012,104.288
18/04/2012,102.85
19/04/2012,102.54
20/04/2012,103.714
23/04/2012,103.11
24/04/2012,103.55
25/04/2012,104.12
26/04/2012,104.55
27/04/2012,104.93
30/04/2012,104.87
01/05/2012,106.16
02/05/2012,105.22
03/05/2012,102.54
04/05/2012,98.49
07/05/2012,97.94
08/05/2012,97.01
09/05/2012,96.81
10/05/2012,97.08
11/05/2012,96.13
14/05/2012,94.78
15/05/2012,93.98
16/05/2012,92.81
17/05/2012,92.636
18/05/2012,91.608
21/05/2012,92.744
22/05/2012,91.812
23/05/2012,89.9
24/05/2012,90.66
25/05/2012,90.86
29/05/2012,90.76
30/05/2012,87.82
31/05/2012,86.53
01/06/2012,83.23
04/06/2012,83.98
05/06/2012,84.29
06/06/2012,85.02
07/06/2012,84.82
08/06/2012,84.1
11/06/2012,82.7
12/06/2012,83.32
13/06/2012,82.62
14/06/2012,83.91
15/06/2012,84.09
18/06/2012,83.402
19/06/2012,84.222
20/06/2012,81.52
21/06/2012,78.2
22/06/2012,79.76
25/06/2012,79.21
26/06/2012,79.36
27/06/2012,80.21
28/06/2012,77.69
29/06/2012,84.96
02/07/2012,83.75
03/07/2012,87.66
05/07/2012,87.22
06/07/2012,84.45
09/07/2012,85.99
10/07/2012,83.91
11/07/2012,85.81
12/07/2012,86.08
13/07/2012,87.1
16/07/2012,88.43
17/07/2012,89.284
18/07/2012,89.99
19/07/2012,92.846
20/07/2012,91.752
23/07/2012,88.14
24/07/2012,88.5
25/07/2012,88.97
26/07/2012,89.39
27/07/2012,90.13
30/07/2012,89.78
31/07/2012,88.06
01/08/2012,88.91
02/08/2012,87.13
03/08/2012,91.4
06/08/2012,92.2
07/08/2012,93.67
08/08/2012,93.35
09/08/2012,93.36
10/08/2012,92.87
13/08/2012,92.73
14/08/2012,93.43
15/08/2012,94.33
16/08/2012,95.658
17/08/2012,96.134
20/08/2012,96.144
21/08/2012,96.808
22/08/2012,97.26
23/08/2012,96.27
24/08/2012,96.15
27/08/2012,95.47
28/08/2012,96.33
29/08/2012,95.49
30/08/2012,94.62
31/08/2012,96.47
04/09/2012,95.3
05/09/2012,95.36
06/09/2012,95.53
07/09/2012,96.42
10/09/2012,96.54
11/09/2012,97.17
12/09/2012,97.01
13/09/2012,98.31
14/09/2012,99
17/09/2012,96.686
18/09/2012,95.422
19/09/2012,92.172
20/09/2012,92.31
21/09/2012,92.89
24/09/2012,91.93
25/09/2012,91.37
26/09/2012,89.98
27/09/2012,91.85
28/09/2012,92.19
01/10/2012,92.48
02/10/2012,91.89
03/10/2012,88.14
04/10/2012,91.71
05/10/2012,89.88
08/10/2012,89.33
09/10/2012,92.39
10/10/2012,91.25
11/10/2012,92.07
12/10/2012,91.86
15/10/2012,91.85
16/10/2012,92.09
17/10/2012,92.214
18/10/2012,92.272
19/10/2012,90.284
22/10/2012,88.666
23/10/2012,86.67
24/10/2012,85.73
25/10/2012,86.05
26/10/2012,86.28
29/10/2012,85.54
30/10/2012,85.68
31/10/2012,86.24
01/11/2012,87.09
02/11/2012,84.86
05/11/2012,85.65
06/11/2012,88.71
07/11/2012,84.44
08/11/2012,85.09
09/11/2012,86.07
12/11/2012,85.57
13/11/2012,85.472
14/11/2012,86.492
15/11/2012,85.702
16/11/2012,86.87
19/11/2012,89.28
20/11/2012,86.75
21/11/2012,87.38
23/11/2012,88.28
26/11/2012,87.74
27/11/2012,87.18
28/11/2012,86.49
29/11/2012,88.07
30/11/2012,88.91
03/12/2012,89.09
04/12/2012,88.5
05/12/2012,87.88
06/12/2012,86.26
07/12/2012,85.93
10/12/2012,85.56
11/12/2012,85.79
12/12/2012,86.77
13/12/2012,85.89
14/12/2012,86.834
17/12/2012,87.388
18/12/2012,88.212
19/12/2012,89.886
20/12/2012,90.13
21/12/2012,88.66
24/12/2012,88.61
26/12/2012,90.98
27/12/2012,90.87
28/12/2012,90.8
31/12/2012,91.82
02/01/2013,93.12
03/01/2013,92.92
04/01/2013,93.09
07/01/2013,93.19
08/01/2013,93.15
09/01/2013,93.1
10/01/2013,93.82
11/01/2013,93.56
14/01/2013,94.14
15/01/2013,93.28
16/01/2013,94.328
17/01/2013,95.67
18/01/2013,95.848
22/01/2013,96.592
23/01/2013,95.23
24/01/2013,95.95
25/01/2013,95.88
28/01/2013,96.44
29/01/2013,97.57
30/01/2013,97.94
31/01/2013,97.49
01/02/2013,97.77
04/02/2013,96.17
05/02/2013,96.64
06/02/2013,96.62
07/02/2013,95.83
08/02/2013,95.72
11/02/2013,97.03
12/02/2013,97.51
13/02/2013,97.01
14/02/2013,97.428
15/02/2013,96.08
19/02/2013,96.924
20/02/2013,95.068
21/02/2013,92.84
22/02/2013,93.13
25/02/2013,93.11
26/02/2013,92.63
27/02/2013,92.76
28/02/2013,92.05
01/03/2013,90.68
04/03/2013,90.12
05/03/2013,90.82
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
