,DateOfDeparture,Departure,Arrival,WeeksToDeparture,std_wtd,Days_to_departure,DateBooked,route_mean,year,day,n_days,day_nb_mean,day_mean,week_mean,month_mean,oil_stock_price,oil_stock_volume,AAL_stock_price,AAL_stock_volume,SP_stock_price,SP_stock_volume
0,2012-09-16,MIA,ATL,13.5,10.454871966,94.0,2012-06-14,10.567745542102283,2012,16,15599,11.2799,10.812631154580547,11.28225526213691,11.163943762320724,97.41333533333334,296114.0,10.55,11550200.0,1462.7166339999999,4002283333.3333335
1,2011-11-09,ATL,PHL,12.833333333299999,10.5239547314,90.0,2011-08-11,11.263704615178002,2011,9,15287,11.4946,11.22214793333977,11.170595240758693,10.939109824172244,95.739998,445712.0,5.05,4424000.0,1229.099976,4659740000.0
2,2011-12-13,MSP,ORD,8.76470588235,8.09729439199,61.0,2011-10-13,11.611103856380172,2011,13,15321,11.2784,11.08030191144073,11.019252156189332,10.604161937131613,100.139999,380754.0,5.19,8482100.0,1225.72998,4121570000.0
3,2012-12-11,LAX,SFO,13.538461538499998,10.5422227987,95.0,2012-09-07,12.447482258556876,2012,11,15685,10.9195,11.08030191144073,11.019252156189332,10.604161937131613,85.790001,217859.0,12.88,6704500.0,1427.839966,3650230000.0
4,2013-02-03,BOS,LGA,4.5,4.44007721941,32.0,2013-01-02,11.168998167620973,2013,3,15739,10.6507,10.812631154580547,10.82938677099014,10.92646600267858,96.703331,221408.3333333333,14.033333333333333,4730200.0,1501.529988666667,3538773333.333333
5,2012-04-07,LGA,ORD,12.875,9.66082407143,90.0,2012-01-08,12.764698391986366,2012,7,15437,9.5555,9.963934488212162,10.722627051315062,11.087010832810972,102.8849985,224413.5,7.7650000000000015,4561150.0,1390.1399535,3386360000.0
6,2011-12-21,LAX,JFK,19.575,11.814566194300001,137.0,2011-08-06,13.011296273384213,2011,21,15329,10.8288,11.22214793333977,10.464456661769288,10.604161937131613,98.669998,219505.0,5.77,8144900.0,1243.719971,2959020000.0
7,2012-12-05,BOS,EWR,6.266666666669999,4.66700679033,44.0,2012-10-22,10.538474148674158,2012,5,15679,11.6051,11.22214793333977,11.077289722291233,10.604161937131613,87.879997,220850.0,12.11,6484300.0,1409.280029,4253920000.0
8,2011-10-30,DFW,LGA,9.263157894739999,7.70888452273,65.0,2011-08-26,11.157526802732253,2011,30,15277,10.7673,10.812631154580547,11.265915207985424,11.243521482329156,93.23333466666666,244627.33333333328,5.826666666666666,4439466.666666667,1263.896688,4385703333.333333
9,2012-11-07,ATL,BOS,10.0,8.596204792939998,70.0,2012-08-29,10.916253991574973,2012,7,15651,11.3282,11.22214793333977,11.170595240758693,10.939109824172244,84.440002,422211.0,12.59,7272000.0,1394.530029,4356490000.0
10,2012-10-21,ATL,LGA,11.625,8.88483074635,81.0,2012-08-01,12.079662364900178,2012,21,15634,11.6089,10.812631154580547,11.39059672860385,11.243521482329156,89.17000300000001,225029.33333333328,11.77,4387633.333333333,1433.6099443333335,3435870000.0
11,2012-05-05,ORD,LAX,13.25,10.300907516,93.0,2012-02-02,12.008992031240435,2012,5,15465,10.1309,9.963934488212162,11.292406234578175,11.218334523700626,98.306666,395531.33333333326,10.833333333333332,7944533.333333332,1369.2599693333334,3836556666.6666665
12,2012-06-11,IAH,LAX,13.25,10.596348837999999,93.0,2012-03-10,10.515096499914817,2012,11,15502,11.553,11.316519450921993,11.156063758332536,11.240980190844223,82.699997,343211.0,11.36,7708500.0,1308.930054,3537530000.0
13,2011-09-08,ATL,CLT,6.06666666667,4.366539438349999,42.0,2011-07-28,10.313085687344707,2011,8,15225,10.6702,11.358502294210167,11.049449450925882,11.163943762320724,89.050003,336725.0,5.14,4435900.0,1185.900024,4465170000.0
14,2012-08-06,MSP,ATL,10.8181818182,8.63346955382,76.0,2012-05-22,10.585135004760662,2012,6,15558,11.4156,11.316519450921993,11.097547276215913,11.094082010757203,92.199997,194374.0,10.81,5529000.0,1394.22998,3122050000.0
15,2013-02-20,ORD,PHX,8.0,5.04975246918,56.0,2012-12-26,10.420333156365,2013,20,15756,11.2074,11.22214793333977,10.950214127109582,10.92646600267858,94.459999,338967.0,13.33,14725200.0,1511.949951,4240570000.0
16,2012-03-27,BOS,LGA,4.91666666667,4.07784108062,34.0,2012-02-22,11.168998167620973,2012,27,15426,11.108,11.08030191144073,11.075628784858011,10.946436196374783,107.330002,209036.0,7.56,4731600.0,1412.52002,3513640000.0
17,2012-01-17,CLT,ATL,8.625,6.81053106104,60.0,2011-11-18,10.31308568734471,2012,17,15356,11.4006,11.08030191144073,10.92668554075603,10.834783842972453,100.709999,341887.0,5.88,3941400.0,1293.670044,4010490000.0
18,2012-08-12,ORD,DFW,15.9,11.068283360699999,111.0,2012-04-23,11.919009854416485,2012,12,15564,10.8818,10.812631154580547,11.097547276215913,11.094082010757203,92.77666966666666,261682.66666666663,10.103333333333332,6277833.333333332,1404.696655,2589320000.0
19,2012-05-17,DEN,SEA,13.5555555556,8.82449969527,95.0,2012-02-12,10.410517930757084,2012,17,15477,11.6181,11.358502294210167,11.359680195737026,11.218334523700626,92.559998,280073.0,10.19,15646000.0,1304.859985,4664280000.0
20,2013-02-19,DEN,DFW,9.9,6.46366361814,69.0,2012-12-12,11.035014235874439,2013,19,15755,10.7457,11.08030191144073,10.950214127109582,10.92646600267858,96.660004,118307.0,14.26,11354400.0,1530.939941,3748910000.0
21,2012-01-29,ORD,DTW,7.266666666669999,4.891197146280001,51.0,2011-12-09,10.731197057171306,2012,29,15368,10.8056,10.812631154580547,10.81796674591105,10.834783842972453,99.03999866666666,228371.33333333328,8.406666666666666,11907666.666666664,1314.1166586666666,3775133333.3333335
22,2011-11-14,ORD,DEN,11.8636363636,9.14067547022,83.0,2011-08-23,10.737025430423813,2011,14,15292,11.4849,11.316519450921993,11.160028368982363,10.939109824172244,98.139999,351523.0,4.98,4837900.0,1251.780029,3219680000.0
23,2012-08-30,ORD,IAH,8.833333333330001,5.89366559262,62.0,2012-06-29,10.714472079157837,2012,30,15582,11.2852,11.358502294210167,10.791054695489867,11.094082010757203,94.620003,192455.0,10.4,5385700.0,1399.47998,2530280000.0
24,2011-12-18,MSP,ATL,7.35294117647,5.45368197265,51.0,2011-10-28,10.585135004760662,2011,18,15326,10.6139,10.812631154580547,11.019252156189332,10.604161937131613,93.763331,145006.33333333337,5.946666666666666,9263666.666666668,1210.1199953333332,4221813333.333333
25,2013-02-07,DFW,ATL,11.7647058824,13.074447463299999,82.0,2012-11-17,11.554773544068748,2013,7,15743,11.3052,11.358502294210167,11.00443131601537,10.92646600267858,95.830002,275474.0,15.11,16835700.0,1509.390015,3614580000.0
26,2012-06-13,PHX,ORD,8.11764705882,5.24264190248,57.0,2012-04-17,10.420333156365,2012,13,15504,11.2798,11.22214793333977,11.156063758332536,11.240980190844223,82.620003,327544.0,11.97,12150700.0,1314.880005,3506510000.0
27,2012-08-20,DFW,LGA,10.347826087,7.18336902253,72.0,2012-06-09,11.157526802732253,2012,20,15572,11.6369,11.316519450921993,11.083618439925203,11.094082010757203,95.970001,113309.0,10.59,7545600.0,1418.130005,2766320000.0
28,2011-12-16,ORD,LAX,16.2580645161,10.972595384100002,114.0,2011-08-24,12.008992031240435,2011,16,15324,10.9774,11.22139005929782,11.019252156189332,10.604161937131613,93.529999,205893.0,6.18,16331800.0,1219.660034,5345800000.0
29,2012-06-22,DFW,ORD,12.653846153800002,9.608089540349999,89.0,2012-03-25,11.919009854416485,2012,22,15513,11.4158,11.22139005929782,11.301741305265612,11.240980190844223,79.760002,293224.0,13.17,14666900.0,1335.02002,5271490000.0
30,2012-11-07,LAX,ORD,14.833333333299999,9.458013691489999,104.0,2012-07-26,12.008992031240435,2012,7,15651,11.3282,11.22214793333977,11.170595240758693,10.939109824172244,84.440002,422211.0,12.59,7272000.0,1394.530029,4356490000.0
31,2013-03-01,ATL,BOS,8.444444444439998,6.938572681010001,59.0,2013-01-01,10.916253991574973,2013,1,15765,11.4305,11.22139005929782,10.957974283232332,10.946436196374783,90.68,248466.0,13.61,7376800.0,1518.199951,3695610000.0
32,2012-08-22,SFO,LAS,14.2580645161,9.35224658192,100.0,2012-05-14,10.769626214381173,2012,22,15574,11.3202,11.22214793333977,11.083618439925203,11.094082010757203,97.260002,217435.0,11.61,10711700.0,1413.48999,3062690000.0
33,2013-03-04,ORD,LAS,9.53333333333,8.77387898144,67.0,2012-12-27,10.678535550960103,2013,4,15768,10.1387,11.316519450921993,10.798397162846332,10.946436196374783,90.120003,231108.0,13.9,8174800.0,1525.199951,3414430000.0
34,2012-03-17,DTW,ATL,8.588235294119999,5.9272550933099994,60.0,2012-01-17,10.414952565561904,2012,17,15416,9.7444,9.963934488212162,11.11947253078815,10.946436196374783,107.40333066666666,165445.66666666663,7.163333333333334,6032466.666666668,1406.0300293333332,4753490000.0
35,2011-11-10,LAS,ORD,11.619047619000002,9.06353237141,81.0,2011-08-21,10.678535550960103,2011,10,15288,11.0171,11.358502294210167,11.170595240758693,10.939109824172244,97.779999,347730.0,4.85,7302900.0,1239.699951,4002760000.0
36,2012-03-11,LAX,ATL,11.043478260899999,8.254355659389999,77.0,2011-12-25,11.28842519213148,2012,11,15410,11.0737,10.812631154580547,10.798397162846332,10.946436196374783,106.69333133333332,254049.33333333328,6.9366666666666665,5024300.0,1371.0166423333333,3267736666.6666665
37,2012-04-03,ATL,DFW,8.666666666669999,7.506859608150001,61.0,2012-02-02,11.554773544068748,2012,3,15433,10.8428,11.08030191144073,10.722627051315062,11.087010832810972,104.010002,245541.0,7.74,6951000.0,1413.380005,3822090000.0
38,2012-03-13,JFK,LAX,12.2692307692,8.70198916252,86.0,2011-12-18,13.011296273384216,2012,13,15412,11.161,11.08030191144073,11.11947253078815,10.946436196374783,106.709999,282350.0,6.96,5909600.0,1395.949951,4386470000.0
39,2011-10-18,MCO,ATL,12.4782608696,9.258261986989998,87.0,2011-07-23,11.479754618699445,2011,18,15265,11.4139,11.08030191144073,11.39059672860385,11.243521482329156,88.339996,203765.0,6.02,4921100.0,1225.380005,4840170000.0
40,2012-07-17,BOS,EWR,11.958333333299999,9.40619207094,84.0,2012-04-24,10.538474148674158,2012,17,15538,11.278,11.08030191144073,11.270802398154027,10.985364033491773,89.220001,262785.0,14.07,7634500.0,1363.670044,3566680000.0
41,2013-01-29,ATL,BOS,7.944444444439999,6.03394537032,56.0,2012-12-04,10.916253991574973,2013,29,15734,10.8056,11.08030191144073,10.82938677099014,10.834783842972453,97.57,252931.0,14.42,10258600.0,1507.839966,3949640000.0
42,2012-12-15,JFK,MIA,17.3103448276,14.0461063448,121.0,2012-08-16,10.363358350662882,2012,15,15689,10.6131,9.963934488212162,11.019252156189332,10.604161937131613,86.88666766666668,197918.66666666663,12.816666666666665,5459433.333333333,1419.173299,3291983333.333333
43,2013-03-05,SFO,DEN,14.333333333299999,11.3661077681,100.0,2012-11-25,10.822170916135342,2013,5,15769,10.6809,11.08030191144073,10.798397162846332,10.946436196374783,90.82,209874.0,14.05,7676100.0,1539.790039,3610690000.0
44,2012-03-15,DFW,LAS,11.5238095238,9.41604507009,81.0,2011-12-25,10.260361637978237,2012,15,15414,11.5831,11.358502294210167,11.11947253078815,10.946436196374783,105.110001,371039.0,7.58,13550500.0,1402.599976,4271650000.0
45,2012-07-10,JFK,MCO,13.448275862100001,9.19854882536,94.0,2012-04-07,10.394299222373727,2012,10,15531,11.0681,11.08030191144073,11.11761174600949,10.985364033491773,83.910004,291409.0,13.91,11868900.0,1341.469971,3470600000.0
46,2012-05-16,ORD,PHX,10.55,8.107663691,74.0,2012-03-03,10.420333156365,2012,16,15476,11.2374,11.22214793333977,11.359680195737026,11.218334523700626,92.809998,308371.0,11.13,7514900.0,1324.800049,4280420000.0
47,2012-06-15,ORD,LAX,16.2,11.7220687829,113.0,2012-02-23,12.008992031240435,2012,15,15506,11.2816,11.22139005929782,11.156063758332536,11.240980190844223,84.029999,216554.0,12.03,7497600.0,1342.839966,4401570000.0
48,2012-03-29,JFK,LAS,10.380952381,6.93884853903,73.0,2012-01-16,10.801480383750052,2012,29,15428,11.3575,11.358502294210167,11.075628784858011,10.946436196374783,102.779999,319988.0,7.89,6150300.0,1403.280029,3832000000.0
49,2012-01-28,LAX,BOS,12.9523809524,10.0919581374,91.0,2011-10-29,10.695485317513855,2012,28,15367,10.4823,9.963934488212162,10.81796674591105,10.834783842972453,99.29999833333332,240913.66666666663,8.293333333333333,11140233.333333334,1315.2233073333334,3891256666.6666665
50,2012-06-01,LGA,CLT,8.125,9.25112605759,57.0,2012-04-05,10.773446264218554,2012,1,15492,11.2059,11.22139005929782,11.176222933263793,11.240980190844223,83.230003,407579.0,12.64,11998500.0,1278.040039,4669350000.0
51,2012-06-27,MSP,ORD,10.4210526316,8.255071097839998,73.0,2012-04-15,11.611103856380172,2012,27,15518,11.5927,11.22214793333977,11.222057961200905,11.240980190844223,80.209999,253006.0,13.31,7264900.0,1331.849976,3286910000.0
52,2012-12-02,DEN,SEA,12.052631578900002,11.384559154200002,84.0,2012-09-09,10.410517930757084,2012,2,15676,10.9092,10.812631154580547,11.006154272408493,10.604161937131613,89.02999866666669,229393.33333333328,12.736666666666665,3741233.333333333,1411.699992,3371520000.0
