,DateOfDeparture,Departure,Arrival,WeeksToDeparture,std_wtd,Days_to_departure,DateBooked,route_mean,year,day,n_days,day_mean,week_mean,month_mean,oil_stock_price,oil_stock_volume,AAL_stock_price,AAL_stock_volume,SP_stock_price,SP_stock_volume
0,2012-05-21,LAS,ORD,12.0,9.860937847799999,84.0,2012-02-27,10.678535550960103,2012,21,15481,11.316519450921993,11.091591872232252,11.218334523700626,92.57,107239.0,10.71,8290100.0,1315.98999,3786750000.0
1,2012-12-20,SFO,DEN,10.6,9.954633938130002,74.0,2012-10-07,10.822170916135342,2012,20,15694,11.358502294210167,10.464456661769288,10.604161937131613,90.129997,178144.0,13.54,8658800.0,1443.689941,3686580000.0
2,2012-11-01,LGA,DTW,11.95,9.207977090830001,84.0,2012-08-09,10.590408816825693,2012,1,15645,11.358502294210167,10.878688529782359,10.939109824172244,87.089996,197179.0,12.55,5001800.0,1427.589966,3929890000.0
3,2012-01-03,DEN,LAS,11.4761904762,9.35210696912,80.0,2011-10-15,10.451325875925932,2012,3,15342,11.08030191144073,10.3432774396269,10.834783842972453,102.959999,275481.0,5.12,6105900.0,1277.060059,3943710000.0
4,2012-11-19,LAX,ATL,13.4444444444,10.3638919528,94.0,2012-08-17,11.28842519213148,2012,19,15663,11.316519450921993,10.183349832740886,10.939109824172244,89.279999,247078.0,12.07,3719000.0,1386.890015,3374800000.0
5,2012-06-01,JFK,MIA,13.9259259259,9.44590235102,97.0,2012-02-25,10.363358350662882,2012,1,15492,11.22139005929782,11.176222933263793,11.240980190844223,83.230003,407579.0,12.64,11998500.0,1278.040039,4669350000.0
6,2012-04-09,DEN,ATL,12.409090909100001,10.4044820512,87.0,2012-01-13,10.365238592134297,2012,9,15439,11.316519450921993,11.141996627758898,11.087010832810972,102.459999,205924.0,7.75,4174400.0,1382.199951,3468980000.0
7,2011-10-10,SFO,DFW,12.68,8.41981789193,89.0,2011-07-13,10.861924746306206,2011,10,15257,11.316519450921993,11.347075783287751,11.243521482329156,85.410004,264825.0,5.33,4401200.0,1194.890015,4446800000.0
8,2013-01-17,ATL,DEN,9.47368421053,6.52659874882,66.0,2012-11-12,10.365238592134293,2013,17,15722,11.358502294210167,10.92668554075603,10.834783842972453,95.489998,178285.0,14.48,4675000.0,1480.939941,3706710000.0
9,2012-12-07,LAS,DEN,12.3636363636,9.96921668865,87.0,2012-09-11,10.451325875925932,2012,7,15681,11.22139005929782,11.077289722291233,10.604161937131613,85.93,244993.0,12.77,9250800.0,1418.069946,3125160000.0
10,2012-11-21,ATL,DEN,9.0,5.62731433871,63.0,2012-09-19,10.365238592134293,2012,21,15665,11.22214793333977,10.183349832740886,10.939109824172244,87.379997,220980.0,12.47,3141200.0,1391.030029,2667090000.0
11,2012-06-01,LAX,EWR,17.7741935484,12.8729941542,124.0,2012-01-29,10.598158672237826,2012,1,15492,11.22139005929782,11.176222933263793,11.240980190844223,83.230003,407579.0,12.64,11998500.0,1278.040039,4669350000.0
12,2011-09-24,LAS,DFW,12.416666666700001,8.48485436665,87.0,2011-06-29,10.260361637978237,2011,24,15241,9.963934488212162,11.334901909539196,11.163943762320724,79.979998,393603.0,6.23,8022066.666666668,1145.2700196666667,5347563333.333333
13,2012-06-02,LGA,CLT,7.8,5.722137462769999,55.0,2012-04-08,10.773446264218554,2012,2,15493,9.963934488212162,11.176222933263793,11.240980190844223,83.480003,374978.33333333326,12.153333333333334,12533600.0,1278.0867106666667,4450220000.0
14,2012-02-11,LGA,CLT,6.22222222222,6.666666666669999,44.0,2011-12-29,10.773446264218554,2012,11,15381,9.963934488212162,11.00443131601537,10.92646600267858,99.41666666666666,294396.66666666674,8.959999999999997,8266500.0,1345.68335,3791066666.6666665
15,2012-06-28,ORD,LAX,13.32,9.93193502462,93.0,2012-03-27,12.008992031240435,2012,28,15519,11.358502294210167,11.222057961200905,11.240980190844223,77.690002,310148.0,13.4,9192300.0,1329.040039,3969370000.0
16,2012-01-01,ATL,DTW,9.444444444439998,6.95550752766,66.0,2011-10-27,10.414952565561904,2012,1,15340,10.812631154580547,9.832669288766573,10.834783842972453,100.8950005,214772.5,5.0950000000000015,5801100.0,1267.3300175000002,3107780000.0
17,2012-12-25,DEN,ORD,9.70588235294,9.537850294239998,68.0,2012-10-18,10.737025430423813,2012,25,15699,11.08030191144073,9.832669288766573,10.604161937131613,90.5160032,149353.4,13.28,1568600.0,1423.244995,1766995000.0
18,2011-10-14,EWR,LAX,13.961538461500002,9.493074398660001,98.0,2011-07-08,10.598158672237826,2011,14,15261,11.22139005929782,11.347075783287751,11.243521482329156,86.800003,274846.0,6.04,6443400.0,1224.579956,4116690000.0
19,2011-10-10,PHL,BOS,8.75,6.72805073306,61.0,2011-08-10,10.54215955980349,2011,10,15257,11.316519450921993,11.347075783287751,11.243521482329156,85.410004,264825.0,5.33,4401200.0,1194.890015,4446800000.0
20,2012-09-01,DTW,LGA,12.8,9.21502396452,90.0,2012-06-03,10.590408816825693,2012,1,15584,9.963934488212162,10.791054695489867,11.163943762320724,96.1775015,250834.0,10.6075,5864575.0,1406.16995225,3003765000.0
21,2012-08-09,LAS,LAX,18.6216216216,13.1579113324,130.0,2012-04-01,11.431460433848352,2012,9,15561,11.358502294210167,11.097547276215913,11.094082010757203,93.360001,258637.0,10.05,5483200.0,1402.800049,3119610000.0
22,2012-03-09,MSP,ORD,9.444444444439998,7.35024787275,66.0,2012-01-03,11.611103856380172,2012,9,15408,11.22139005929782,10.798397162846332,10.946436196374783,107.400002,292694.0,7.03,4508100.0,1370.869995,3639470000.0
23,2013-01-15,LGA,MIA,10.8,7.7771595410100005,76.0,2012-10-31,10.972960051713835,2013,15,15720,11.08030191144073,10.92668554075603,10.834783842972453,93.279999,248136.0,14.31,7384900.0,1472.339966,3135350000.0
24,2012-10-21,JFK,MCO,14.703703703699999,10.472729476,103.0,2012-07-10,10.394299222373727,2012,21,15634,10.812631154580547,11.39059672860385,11.243521482329156,89.17000300000001,225029.33333333328,11.77,4387633.333333333,1433.6099443333335,3435870000.0
25,2012-04-21,PHL,DFW,4.5,3.0276503541000004,32.0,2012-03-20,10.201987103765553,2012,21,15451,9.963934488212162,11.265280556839812,11.087010832810972,103.07000233333332,221594.0,9.236666666666666,13532166.666666664,1374.666666333333,3773833333.3333335
26,2012-05-25,JFK,SFO,13.827586206900001,10.4028463327,97.0,2012-02-18,12.18794616982222,2012,25,15485,11.22139005929782,11.091591872232252,11.218334523700626,90.860001,153921.0,12.3,8341300.0,1317.819946,2872660000.0
27,2012-04-01,ORD,EWR,10.05,6.8554626700900005,70.0,2012-01-22,11.356682693014116,2012,1,15431,10.812631154580547,11.075628784858011,11.087010832810972,104.49333433333334,266783.0,7.51,7149800.0,1415.516683,3606970000.0
28,2012-07-19,ORD,SEA,14.862068965499999,9.83334029111,104.0,2012-04-06,10.503372503792876,2012,19,15540,11.358502294210167,11.270802398154027,10.985364033491773,92.660004,102928.0,12.5,13748800.0,1376.51001,4043360000.0
29,2012-07-27,DEN,MSP,9.8,6.54217089352,69.0,2012-05-19,10.456412399866473,2012,27,15548,11.22139005929782,11.178833477337754,10.985364033491773,90.129997,210412.0,11.35,5844700.0,1385.969971,4399010000.0
30,2012-11-24,SFO,ORD,14.7307692308,11.283820956800001,103.0,2012-08-13,11.719064740843187,2012,24,15668,9.963934488212162,10.183349832740886,10.939109824172244,87.59599759999999,182347.8,12.64,3468400.0,1408.196695666667,1986293333.3333333
31,2012-06-25,EWR,ORD,10.619047619,9.43120453853,74.0,2012-04-12,11.35668269301411,2012,25,15516,11.316519450921993,11.222057961200905,11.240980190844223,79.209999,249004.0,12.65,5882000.0,1313.719971,3501820000.0
32,2012-12-20,DFW,LAS,11.0,9.76028472406,77.0,2012-10-04,10.260361637978237,2012,20,15694,11.358502294210167,10.464456661769288,10.604161937131613,90.129997,178144.0,13.54,8658800.0,1443.689941,3686580000.0
33,2011-12-23,LGA,ATL,14.0357142857,9.191308869260002,98.0,2011-09-16,12.079662364900178,2011,23,15331,11.22139005929782,10.464456661769288,10.604161937131613,99.68,95270.0,5.62,4990700.0,1265.329956,2233830000.0
34,2011-09-29,LAS,SFO,14.2413793103,8.870718977200001,100.0,2011-06-21,10.769626214381173,2011,29,15246,11.358502294210167,11.254785605103002,11.163943762320724,82.139999,351345.0,6.1,5039900.0,1160.400024,5285740000.0
35,2012-09-19,DTW,ATL,14.0476190476,11.4301189428,98.0,2012-06-13,10.414952565561904,2012,19,15602,11.22214793333977,11.334901909539196,11.163943762320724,91.980003,133035.0,10.97,10926500.0,1461.050049,3451360000.0
36,2013-02-21,EWR,MCO,16.92,14.674013311500001,118.0,2012-10-26,10.675846252417372,2013,21,15757,11.358502294210167,10.950214127109582,10.92646600267858,92.839996,286434.0,13.37,11922100.0,1502.420044,4274600000.0
37,2012-10-31,JFK,LAX,18.0,12.211106055999998,126.0,2012-06-27,13.011296273384216,2012,31,15644,11.22214793333977,10.878688529782359,11.243521482329156,86.239998,212577.0,12.18,5144500.0,1412.160034,3577110000.0
38,2012-06-17,ATL,LAX,12.3181818182,10.0161125604,86.0,2012-03-23,11.288425192131484,2012,17,15508,10.812631154580547,11.156063758332536,11.240980190844223,83.523331,216821.3333333333,12.343333333333335,7689133.333333332,1344.1333413333334,3640143333.3333335
39,2011-09-19,IAH,ORD,9.176470588239999,6.82124708281,64.0,2011-07-17,10.714472079157837,2011,19,15236,11.316519450921993,11.334901909539196,11.163943762320724,85.699997,132221.0,5.8,4149000.0,1204.089966,4254190000.0
40,2012-04-23,LAS,JFK,13.461538461500002,9.356199096769998,94.0,2012-01-20,10.801480383750057,2012,23,15453,11.316519450921993,11.1834479631972,11.087010832810972,103.110001,213202.0,9.03,8484300.0,1366.939941,3654860000.0
41,2012-01-26,MSP,ORD,10.3888888889,9.15319866231,73.0,2011-11-14,11.611103856380172,2012,26,15365,11.358502294210167,10.81796674591105,10.834783842972453,99.699997,260744.0,7.85,17160200.0,1318.430054,4522070000.0
42,2012-06-19,DFW,LAS,10.285714285700001,6.6644043780599995,72.0,2012-04-08,10.260361637978237,2012,19,15510,11.08030191144073,11.301741305265612,11.240980190844223,84.029999,109008.0,12.7,11647400.0,1357.97998,3815350000.0
43,2012-03-24,ORD,SFO,12.041666666700001,8.232909394710001,84.0,2011-12-31,11.719064740843187,2012,24,15423,9.963934488212162,11.156500327928116,10.946436196374783,106.92333500000001,227604.66666666663,7.61,5343033.333333333,1403.57666,3507616666.6666665
44,2011-12-07,SEA,DEN,10.1111111111,8.449774719510001,71.0,2011-09-27,10.410517930757084,2011,7,15315,11.22214793333977,11.077289722291233,10.604161937131613,100.489998,330533.0,5.59,10016700.0,1261.01001,4160540000.0
45,2012-12-22,ORD,IAH,13.15,11.895487866400002,92.0,2012-09-21,10.714472079157837,2012,22,15696,9.963934488212162,10.464456661769288,10.604161937131613,89.1240038,172619.6,13.403333333333332,4440266.666666667,1428.986694,3902426666.666667
46,2012-03-06,DEN,LAS,7.285714285710001,6.0944940022,51.0,2012-01-15,10.451325875925932,2012,6,15405,11.08030191144073,10.798397162846332,10.946436196374783,104.699997,332561.0,6.88,7993300.0,1343.359985,4191060000.0
47,2012-03-15,PHL,BOS,7.3571428571399995,6.307591797640001,51.0,2012-01-24,10.54215955980349,2012,15,15414,11.358502294210167,11.11947253078815,10.946436196374783,105.110001,371039.0,7.58,13550500.0,1402.599976,4271650000.0
48,2012-02-22,DFW,LGA,8.29411764706,5.542615649249999,58.0,2011-12-26,11.157526802732253,2012,22,15392,11.22214793333977,10.950214127109582,10.92646600267858,106.279999,241329.0,7.7,5383700.0,1357.660034,3633710000.0
